Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch,group,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041422,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,4683951,4216823,197908,1720400,1709915,699,3614,204573,17203,167252,1572823,158121,35374,337463,DRX037056,PRJDB2675,DRS008005,SAMD00005763,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041436,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,665435,530063,45319,268588,266584,421,585,25036,2561,18733,134342,22558,5200,52460,DRX037070,PRJDB2675,DRS008008,SAMD00004792,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041443,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,1904603,1682841,110161,467112,463349,530,1517,51194,4324,54785,851619,61529,18009,172752,DRX037077,PRJDB2675,DRS008009,SAMD00005749,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041450,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,1839082,1621037,88713,593925,592148,513,1067,64047,4099,64186,716728,56672,11099,109214,DRX037084,PRJDB2675,DRS008007,SAMD00004940,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041470,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Brain,No,Astrocyte,159,3,3253668,2750480,179104,914005,908797,623,2605,123504,10586,97052,1188458,106045,31348,276877,DRX037104,PRJDB2675,DRS008010,SAMD00005736,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR3996364,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,2734912,2273505,119832,1660916,1656837,621,11543,155610,28151,46606,145302,48816,12554,164007,SRX1997251,PRJNA336334,SRS1598718,SAMN05509030,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR3996365,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,2301551,1919467,99295,1309069,1305925,574,8297,140431,26385,89441,119635,41551,11808,172850,SRX1997252,PRJNA336334,SRS1598719,SAMN05509029,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR3996366,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,4355642,3463972,344846,2032666,2026968,646,11814,221623,43465,135825,215345,69197,22053,711984,SRX1997253,PRJNA336334,SRS1598720,SAMN05509028,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR3996367,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,3174776,2642677,268709,1591250,1587448,632,9711,185024,37303,51184,132649,50667,14939,569950,SRX1997254,PRJNA336334,SRS1598722,SAMN05509032,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR3996368,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,3371762,2660442,138854,1842506,1840348,572,5843,217763,14469,41248,235104,46790,8622,248097,SRX1997255,PRJNA336334,SRS1598721,SAMN05509031,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR3996369,SRP080860,Illumina MiSeq,miRNA-Seq,size fractionation,Brain,No,Astrocyte,74,3,3662542,3264001,156330,2190454,2188377,577,7666,284174,24278,150053,265303,63980,11569,266524,SRX1997256,PRJNA336334,SRS1598723,SAMN05509027,GEO,DOI: 10.1371/journal.pone.0170961,28135303
SRR5121485,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,15817486,10189170,427258,5398973,5373258,609,8411,1390583,10452,803380,565671,474160,107308,1430232,SRX2436686,PRJNA358167,SRS1871649,SAMN06167114,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR5121486,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,14313292,10717118,718241,1935983,1919379,553,3111,5030642,14291,88172,1868834,362683,257578,1155824,SRX2436687,PRJNA358167,SRS1871650,SAMN06167113,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR5121487,SRP095395,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,B_cell_germinal_center,23,4,8777768,7311365,590642,3476765,3452886,573,5409,1241721,6609,419588,394373,467576,112859,1186465,SRX2436688,PRJNA358167,SRS1871651,SAMN06167112,GEO,DOI: 10.1016/j.ajpath.2017.02.016,28432871
SRR1012333,SRP031459,Illumina Genome Analyzer II,RNA-Seq,size fractionation,Immune,No,B_lymphycyte,5,4,6340020,2541886,276872,574597,567393,462,1328,1131407,9238,75888,176576,218487,27101,327264,SRX364653,PRJNA222811,SRS491067,SAMN02376775,GEO,DOI: 10.1371/journal.pone.0082471,24358187
SRR1012334,SRP031459,Illumina Genome Analyzer II,RNA-Seq,size fractionation,Immune,No,B_lymphycyte,5,4,9931916,9918314,632625,92732,90986,208,2211,353256,4406,383935,367140,649980,46943,8017711,SRX364654,PRJNA222811,SRS491068,SAMN02376774,GEO,DOI: 10.1371/journal.pone.0082471,24358187
SRR7585373,SRP154953,Illumina HiSeq 2500,miRNA-Seq,cDNA,Epithelial,No,Beta_cell,1,5,162160933,107371090,5184110,57865572,57542631,1090,237008,11351344,303482,2731956,10933175,2732691,1116388,20099474,SRX4451237,PRJNA480287,SRS3589943,SAMN09634509,THE JACKSON LABORATORY,DOI: 10.1016/j.celrep.2018.12.083,30650367
SRR6433711,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_derived,58,5,4844025,4843888,173288,717537,697110,482,1100,93169,40,20246,371798,63467,28798,3547733,SRX3525295,PRJNA428182,SRS2801440,SAMN08283950,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433712,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_derived,58,5,736011,735995,36932,255925,253942,364,934,9840,2339,4706,42383,5849,2158,411861,SRX3525296,PRJNA428182,SRS2801439,SAMN08283949,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433713,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,3267896,3267845,102827,103220,93904,301,156,10350,138,2649,101859,10168,4057,3035248,SRX3525297,PRJNA428182,SRS2801442,SAMN08283948,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433714,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,5323815,5323750,87911,112999,103963,272,114,3584,276,1509,22223,7349,1495,5174201,SRX3525298,PRJNA428182,SRS2801441,SAMN08283947,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433715,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,2246514,2246488,50502,74436,69442,247,63,2392,314,1149,9036,3585,1265,2154248,SRX3525299,PRJNA428182,SRS2801443,SAMN08283946,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR4027315,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,6520753,5526865,346527,872057,859423,566,7044,283594,4537,408891,2750386,398106,94871,707379,SRX2019249,PRJNA338817,SRS1614884,SAMN05559145,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027317,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,8179259,7195690,507526,3179353,3166429,832,9543,313493,13823,186454,1930468,748756,51857,761943,SRX2019251,PRJNA338817,SRS1615025,SAMN05559147,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027318,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,8275402,6648710,314262,2604669,2570791,743,2460,2897634,7117,77398,117093,146229,12821,783289,SRX2019252,PRJNA338817,SRS1615027,SAMN05559150,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027319,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,4323408,3801485,368386,1694358,1680352,660,12551,228789,3245,105556,662716,517886,53105,523279,SRX2019253,PRJNA338817,SRS1615029,SAMN05559152,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027326,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,15852507,15630477,256758,13544362,13533418,1139,23262,108562,7349,281246,468923,807775,75152,313846,SRX2019260,PRJNA338817,SRS1615035,SAMN05559226,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027328,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,7023628,5982628,357556,3192917,3173498,813,16489,1587083,8135,96170,225297,184788,23200,648549,SRX2019262,PRJNA338817,SRS1615037,SAMN05559233,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027329,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,7767715,7098062,423088,5623688,5613240,899,20698,171533,14405,103290,284047,432670,23887,423844,SRX2019263,PRJNA338817,SRS1615038,SAMN05559234,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027372,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3529810,3391003,135260,2755020,2750971,796,4355,110873,11327,52919,153397,109835,12972,180305,SRX2019306,PRJNA338817,SRS1614924,SAMN05559146,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027373,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3280703,3012020,252473,940312,936932,648,5899,281743,2678,108515,842882,423551,44412,362028,SRX2019307,PRJNA338817,SRS1615056,SAMN05559149,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027392,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,1831615,1682464,160638,807526,802512,672,14982,92442,8067,45501,354702,98393,18477,242374,SRX2019326,PRJNA338817,SRS1615065,SAMN05559211,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027395,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,2574770,2390951,182539,1015766,1006401,707,7073,215089,10221,78275,362720,431386,37018,233403,SRX2019329,PRJNA338817,SRS1614931,SAMN05559217,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027396,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,13233627,12586176,452347,9258097,9242491,1152,23964,926642,48339,230216,730550,491803,62456,814109,SRX2019330,PRJNA338817,SRS1614963,SAMN05559218,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027397,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3726865,3380401,215955,1350965,1344534,705,8202,208409,6439,85833,1047303,313208,38537,321505,SRX2019331,PRJNA338817,SRS1614955,SAMN05559221,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027398,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,4913699,4442889,272826,2441992,2425982,895,43499,298055,37891,112672,672431,289214,50564,496571,SRX2019332,PRJNA338817,SRS1615067,SAMN05559222,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027422,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,1623543,1457962,165740,342350,337627,567,5797,76908,2024,62629,604185,109435,36753,217881,SRX2019356,PRJNA338817,SRS1614941,SAMN05559332,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027423,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,1070170,1025832,95803,532603,529012,645,6431,74905,7221,40451,140953,85840,12956,124472,SRX2019357,PRJNA338817,SRS1614943,SAMN05559334,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027424,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,2135457,2016497,171957,950019,945648,686,3045,186883,4739,75779,346190,210892,18951,219999,SRX2019358,PRJNA338817,SRS1614942,SAMN05559336,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027425,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3458797,3330077,216131,1301339,1296868,682,9950,297508,4645,103134,901410,302773,55568,353750,SRX2019359,PRJNA338817,SRS1614960,SAMN05559337,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027426,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,2454259,2263323,322510,954823,944096,697,16463,169752,10741,54097,440145,160457,110748,346097,SRX2019360,PRJNA338817,SRS1615071,SAMN05559338,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027428,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,1519540,1460277,125963,599240,596656,620,7706,202409,3425,46914,220527,212918,23943,143195,SRX2019362,PRJNA338817,SRS1614978,SAMN05559339,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027430,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,5348566,5184149,268690,854368,851404,679,9666,1062300,2832,165495,2012077,551824,58774,466813,SRX2019364,PRJNA338817,SRS1614970,SAMN05559341,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027431,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,10468450,10078143,319885,7949952,7938856,1062,16358,405069,33777,161551,507069,383135,37646,583586,SRX2019365,PRJNA338817,SRS1615073,SAMN05559333,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027439,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3807179,3466215,247249,1819392,1806800,828,20553,205182,30190,112872,552810,230745,46937,447534,SRX2019373,PRJNA338817,SRS1614979,SAMN05559370,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027440,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,9112606,8596900,331852,6620585,6607727,1036,20067,317574,37530,145036,539845,353747,56876,505640,SRX2019374,PRJNA338817,SRS1614982,SAMN05559377,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027441,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,8957029,8316977,353440,4945491,4934215,983,8979,460364,10547,263103,1146054,767255,52879,662305,SRX2019375,PRJNA338817,SRS1614983,SAMN05559378,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027442,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3099047,2840401,234585,1186152,1179821,676,6215,204440,5269,125686,605715,375594,49346,281984,SRX2019376,PRJNA338817,SRS1614989,SAMN05559379,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027443,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,3990257,3631866,263776,1989523,1982775,816,2569,188649,4408,91399,735652,298261,28678,292727,SRX2019377,PRJNA338817,SRS1614932,SAMN05559220,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027452,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,6224205,5943846,296515,4714185,4705381,989,7142,191199,26372,87554,321669,207394,24560,363771,SRX2019386,PRJNA338817,SRS1615079,SAMN05559335,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027453,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,2201715,2079413,254306,528837,526314,579,7567,414538,5493,103704,361165,311089,51185,295835,SRX2019387,PRJNA338817,SRS1614986,SAMN05559371,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027454,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,5330956,5028695,320739,3744585,3738065,878,6829,171841,17758,66909,352297,271800,22401,374275,SRX2019388,PRJNA338817,SRS1614987,SAMN05559372,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027455,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,6026135,5618675,624271,944225,939890,653,7283,838252,7642,311496,1759179,831585,159468,759545,SRX2019389,PRJNA338817,SRS1614996,SAMN05559374,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR4027456,SRP081654,Illumina HiSeq 2000,miRNA-Seq,RANDOM,Stem,No,Blastocyst_derived,157,6,2483602,2269822,191259,1383738,1372972,757,11388,119031,22392,64265,257415,128624,29225,253744,SRX2019390,PRJNA338817,SRS1614988,SAMN05559375,SAGE BIONETWORKS,DOI: 10.1016/j.stemcr.2016.05.006,27293150
SRR10984944,SRP245854,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,109,7,25718899,21803159,779195,9160675,9126926,789,41078,3770642,144311,1062542,3396603,1460887,305286,2461135,SRX7647315,PRJNA603745,SRS6076953,SAMN13940411,GEO,DOI: 10.1038/s41598-020-60065-8,32094412
SRR1955560,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1711777,79246,1165505,1163339,509,948,44279,641,15377,368083,18358,7897,90689,SRX981073,PRJNA280515,SRS895933,SAMN03463645,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955561,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,1183862,507805,36023,344772,344027,368,285,13107,199,4657,109144,5485,2296,27860,SRX981073,PRJNA280515,SRS895933,SAMN03463645,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955562,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1579922,70707,1174610,1172297,483,1025,33148,577,18259,179781,25239,7130,140153,SRX981074,PRJNA280515,SRS895934,SAMN03463646,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955564,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,3332958,1950558,90357,1478916,1475975,508,1162,47069,904,19159,216758,28900,9132,148558,SRX981075,PRJNA280515,SRS895932,SAMN03463647,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955565,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,3853126,2007928,112101,1397815,1394491,515,1814,63188,1750,31694,303816,30432,13379,164040,SRX981076,PRJNA280515,SRS895931,SAMN03463648,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955566,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1869304,79908,1489093,1485553,534,962,46279,1246,13054,123310,21623,11631,162106,SRX981077,PRJNA280515,SRS895930,SAMN03463649,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955567,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,2792277,1309114,62961,1038838,1036255,495,692,32560,889,9234,86017,15142,8103,117639,SRX981077,PRJNA280515,SRS895930,SAMN03463649,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955568,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,3877318,2287047,153936,1576788,1569965,524,1353,81175,2378,31356,298358,35524,24621,235494,SRX981078,PRJNA280515,SRS895928,SAMN03463650,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955569,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1724491,83280,1139125,1136316,506,1799,65658,1201,15264,337384,17166,9146,137748,SRX981079,PRJNA280515,SRS895927,SAMN03463651,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955570,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1723517,85041,1135930,1133121,490,1925,65160,1181,14994,336527,17333,8901,141566,SRX981079,PRJNA280515,SRS895927,SAMN03463651,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955571,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,525666,230196,23262,151401,150901,315,220,8506,157,2075,44327,2240,1218,20052,SRX981079,PRJNA280515,SRS895927,SAMN03463651,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955572,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,1953992,132476,1238027,1232605,492,1158,88740,1463,25974,357252,28537,21578,191263,SRX981080,PRJNA280515,SRS895926,SAMN03463652,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955573,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,1979875,972594,80004,614209,611456,418,551,43788,751,13150,177323,14095,10809,97918,SRX981080,PRJNA280515,SRS895926,SAMN03463652,GEO,DOI: 10.7717/peerj.1536,26788424
SRR1955574,SRP056924,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Stem,No,Bone_marrow_mesenchymal_stem_cell,134,7,4000000,2091330,92403,1480006,1477052,526,837,67724,743,15965,374683,28874,10124,112374,SRX981081,PRJNA280515,SRS895925,SAMN03463653,GEO,DOI: 10.7717/peerj.1536,26788424
