Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR5755815,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,830308,673961,49273,247978,246692,320,202,29840,23,16147,27387,15717,7593,329074,SRX2955995,PRJNA391912,SRS2313198,SAMN07277889,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755821,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,1910166,1609115,71593,652797,650469,415,470,117905,40,32707,76311,42623,8406,677856,SRX2956001,PRJNA391912,SRS2313204,SAMN07277882,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755828,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,6058996,3573040,225970,1242281,1237246,495,859,267600,90,62905,447897,324251,48589,1178568,SRX2956008,PRJNA391912,SRS2313211,SAMN07277876,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755835,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,4448397,4048566,199566,1152370,1144480,487,2264,1157803,84,68041,154509,97479,29650,1386366,SRX2956015,PRJNA391912,SRS2313218,SAMN07277869,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755842,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,1439720,1289503,89715,367639,364666,339,803,158070,36,48203,79793,47407,11860,575692,SRX2956022,PRJNA391912,SRS2313225,SAMN07277727,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755849,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,1700352,1622517,89945,412527,409447,357,870,382443,28,44043,72747,45898,10181,653780,SRX2956029,PRJNA391912,SRS2313232,SAMN07277852,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755856,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3296867,3015861,299636,829310,774168,438,1077,334636,83,50156,69784,69848,16341,1644626,SRX2956036,PRJNA391912,SRS2313239,SAMN07277703,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755863,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3441495,3324984,221830,1443448,1438788,490,2438,531219,70,202589,137754,198328,60950,748188,SRX2956043,PRJNA391912,SRS2313246,SAMN07277692,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755870,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3475202,3223254,195444,797339,793055,444,1878,653762,40,98729,161262,126547,38256,1345441,SRX2956050,PRJNA391912,SRS2313253,SAMN07277685,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755877,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7215933,6519903,428870,2789483,2778366,612,3549,1219714,143,193979,352402,270917,109043,1580673,SRX2956057,PRJNA391912,SRS2313260,SAMN07277678,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755884,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,8462900,7785677,397392,3490239,3479699,629,9712,1499787,358,264818,427445,247140,69797,1776381,SRX2956064,PRJNA391912,SRS2313267,SAMN07277723,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755891,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7389719,6590042,226807,935176,927363,459,1726,2776461,89,80319,134149,161711,35286,2465125,SRX2956071,PRJNA391912,SRS2313274,SAMN07277716,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755898,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,1273557,1076732,97665,618509,615996,377,913,198309,53,40550,68286,44821,11160,94131,SRX2956078,PRJNA391912,SRS2313281,SAMN07277709,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755905,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,10411458,9598574,395740,3088230,3071894,628,4238,3264227,212,149008,251894,204069,60261,2576435,SRX2956085,PRJNA391912,SRS2313288,SAMN07277861,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755912,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,9879943,9098200,389431,3215473,3200477,622,4732,2749966,234,154651,291357,222295,63848,2395644,SRX2956092,PRJNA391912,SRS2313295,SAMN07277393,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755919,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,4375111,4176059,168096,1301948,1291339,460,2250,381332,100,104623,110544,102984,23524,2148754,SRX2956099,PRJNA391912,SRS2313302,SAMN07277387,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755926,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,5240178,5000401,227527,1593503,1585791,513,4144,629684,158,179554,201795,139646,31629,2220288,SRX2956106,PRJNA391912,SRS2313309,SAMN07277513,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755933,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3977893,3665380,138893,616002,609417,412,1465,733151,88,51443,107780,61836,18358,2075257,SRX2956113,PRJNA391912,SRS2313316,SAMN07277506,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755940,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,2920223,2471399,198231,1394746,1389490,501,2173,513924,170,94642,119351,97966,33002,215425,SRX2956120,PRJNA391912,SRS2313322,SAMN07277499,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755947,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3930246,3566620,195919,1093139,1089875,466,5618,473357,136,156074,137056,145719,28152,1527369,SRX2956127,PRJNA391912,SRS2313330,SAMN07277522,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755954,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,1174912,1042224,87600,472640,470426,375,1486,318217,69,35601,57374,40169,11058,105610,SRX2956134,PRJNA391912,SRS2313337,SAMN07277631,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755961,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,6031197,5549853,299981,2257501,2251736,561,10219,1006247,250,243842,282037,248473,55622,1445662,SRX2956141,PRJNA391912,SRS2313344,SAMN07277624,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755968,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,4753034,4148958,177189,1439572,1433659,509,2851,462820,152,95684,180600,108146,24343,1834790,SRX2956148,PRJNA391912,SRS2313351,SAMN07277617,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755975,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,6983129,5526779,271603,2510420,2500569,610,3671,809353,350,136629,211952,175247,43751,1635406,SRX2956155,PRJNA391912,SRS2313358,SAMN07277640,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755982,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,8082720,6961445,290064,3104182,3095156,632,2618,502361,268,227702,318714,222716,49966,2532918,SRX2956162,PRJNA391912,SRS2313365,SAMN07277633,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755996,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,11701090,10576123,542016,5306939,5295717,734,4207,2090661,719,347998,349424,313056,175310,1987809,SRX2956176,PRJNA391912,SRS2313379,SAMN07277774,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756003,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7396518,6507122,330210,3347099,3337035,631,3732,653201,349,220103,232541,190426,74289,1785382,SRX2956183,PRJNA391912,SRS2313386,SAMN07277839,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756009,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,5948206,5044387,230915,1744354,1737843,536,2190,461619,135,172679,169849,181599,37965,2273997,SRX2956189,PRJNA391912,SRS2313392,SAMN07277841,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756016,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,9215425,8641551,457231,4137444,4123790,672,6140,1168454,272,305750,417048,431211,95405,2079827,SRX2956196,PRJNA391912,SRS2313400,SAMN07277832,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756023,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,5054498,3852644,192777,1542791,1537092,531,1445,324142,125,85365,126860,109958,34343,1627615,SRX2956203,PRJNA391912,SRS2313406,SAMN07277825,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756029,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7193927,6495679,349072,2902173,2890169,654,3496,708481,266,188928,329293,241508,77792,2043742,SRX2956209,PRJNA391912,SRS2313412,SAMN07277819,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756035,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7230581,6248780,305283,2331976,2323069,599,2852,459789,263,171694,243714,181903,66715,2789874,SRX2956215,PRJNA391912,SRS2313418,SAMN07277765,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756042,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,5848820,3407194,184168,1178704,1171387,478,1533,232193,151,95614,138860,92093,26338,1641708,SRX2956222,PRJNA391912,SRS2313425,SAMN07277422,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756049,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,6973513,6148397,366363,2849161,2835159,595,3507,803046,206,221232,301254,207556,68401,1694034,SRX2956229,PRJNA391912,SRS2313432,SAMN07277414,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756056,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,4795381,3655383,209918,1321520,1313416,504,1794,413805,83,102775,189026,107761,34931,1483688,SRX2956236,PRJNA391912,SRS2313439,SAMN07277405,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756063,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,7425184,6125453,369095,2568337,2554665,571,3397,808018,233,206262,328764,212540,60312,1937590,SRX2956243,PRJNA391912,SRS2313446,SAMN07277398,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756070,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,3137249,2748441,220495,1850269,1843682,532,1748,333002,130,105970,111902,106105,46412,192903,SRX2956250,PRJNA391912,SRS2313453,SAMN07277813,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756077,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,2216032,1758513,156885,1113599,1108983,457,1194,251580,82,69830,66261,72230,31067,152670,SRX2956257,PRJNA391912,SRS2313460,SAMN07277806,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756084,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,2739415,2415207,194179,1548385,1542835,495,1936,333095,86,103003,126325,93563,34996,173818,SRX2956264,PRJNA391912,SRS2313467,SAMN07277799,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756091,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,5731877,4560985,223330,2183411,2176301,576,2258,320963,244,139560,231042,122220,48233,1513054,SRX2956271,PRJNA391912,SRS2313474,SAMN07277893,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756098,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,14186141,12780840,587349,6033292,6007236,735,6725,1009092,865,357046,522103,368308,134066,4349343,SRX2956278,PRJNA391912,SRS2313481,SAMN07277761,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756105,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD14_cell,158,11,14439671,13787740,410445,8336205,8314477,774,5817,687688,664,300587,292165,267325,104781,3792508,SRX2956285,PRJNA391912,SRS2313488,SAMN07277754,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR9618218,SRP212510,Illumina MiSeq,miRNA-Seq,PCR,Immune,No,CD14_cell,16,11,4943406,3186865,181346,2110786,2104253,597,2713,165677,1932,134097,242311,185132,36443,307774,SRX6381267,PRJNA552180,SRS5041795,SAMN12179524,KAOHSIUNG CHANG GUNG MEMORIAL HOSPITAL,-,-
SRR9618220,SRP212510,Illumina MiSeq,miRNA-Seq,PCR,Immune,No,CD14_cell,16,11,4247078,3111740,171180,2130609,2125353,578,3163,180522,1702,133584,218153,148409,34895,260703,SRX6381265,PRJNA552180,SRS5041793,SAMN12179526,KAOHSIUNG CHANG GUNG MEMORIAL HOSPITAL,-,-
SRR10263407,SRP225193,NextSeq 500,RNA-Seq,cDNA,Immune,No,CD14_cell,160,11,5070469,4777916,232796,474414,471483,342,1340,2404795,415,156043,685370,224411,56635,774493,SRX6979927,PRJNA576920,SRS5504923,SAMN13014705,GEO,DOI: 10.1038/s41587-021-00936-1,34140680
SRR10263408,SRP225193,NextSeq 500,RNA-Seq,cDNA,Immune,No,CD14_cell,160,11,5133684,4836135,240356,478311,475361,339,1314,2427474,432,157875,694951,227838,56651,791289,SRX6979927,PRJNA576920,SRS5504923,SAMN13014705,GEO,DOI: 10.1038/s41587-021-00936-1,34140680
SRR10263409,SRP225193,NextSeq 500,RNA-Seq,cDNA,Immune,No,CD14_cell,160,11,5034776,4745471,230093,470493,467646,331,1344,2391593,445,153553,679485,222873,55495,770190,SRX6979927,PRJNA576920,SRS5504923,SAMN13014705,GEO,DOI: 10.1038/s41587-021-00936-1,34140680
SRR10263410,SRP225193,NextSeq 500,RNA-Seq,cDNA,Immune,No,CD14_cell,160,11,5162024,4863658,237299,482129,479059,347,1357,2445709,429,157618,693594,228608,57554,796660,SRX6979927,PRJNA576920,SRS5504923,SAMN13014705,GEO,DOI: 10.1038/s41587-021-00936-1,34140680
SRR5755864,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,1919022,1472922,33438,56486,55681,224,91,12855,0,10199,18846,67910,2718,1303817,SRX2956044,PRJNA391912,SRS2313247,SAMN07277691,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755878,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2678145,1822186,39405,87434,86351,274,131,40567,5,9508,40286,87668,3298,1553289,SRX2956058,PRJNA391912,SRS2313261,SAMN07277677,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755885,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,1772814,1689095,45184,234016,232237,289,83,87500,1,16565,20865,62150,1839,1266076,SRX2956065,PRJNA391912,SRS2313268,SAMN07277722,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755899,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2984106,2291185,27977,71764,70728,219,19,31807,0,3929,8285,21202,657,2153522,SRX2956079,PRJNA391912,SRS2313282,SAMN07277708,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755906,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3724620,2991068,46893,209554,207557,283,59,107831,1,8344,20886,44369,1636,2598388,SRX2956086,PRJNA391912,SRS2313289,SAMN07277860,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755913,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,1710039,1650800,34186,216527,214613,272,121,214594,0,12858,15991,57936,1824,1130949,SRX2956093,PRJNA391912,SRS2313296,SAMN07277392,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755920,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2571538,2341188,35075,164365,161789,277,153,74608,2,15056,13252,55131,1549,2017072,SRX2956100,PRJNA391912,SRS2313303,SAMN07277386,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755927,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2699444,2586231,31063,114385,111689,230,108,44689,0,9044,11505,34003,1023,2371474,SRX2956107,PRJNA391912,SRS2313310,SAMN07277512,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755934,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2187486,1990288,27185,82493,81166,229,49,30307,0,6036,13491,32529,1262,1824121,SRX2956114,PRJNA391912,SRS2313317,SAMN07277505,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755948,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2287967,1682556,28329,74661,73992,224,55,54818,1,9807,16338,39705,1436,1485735,SRX2956128,PRJNA391912,SRS2313331,SAMN07277521,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755955,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2318251,1789427,30271,86958,86194,247,64,82313,2,7225,21508,37481,1283,1552593,SRX2956135,PRJNA391912,SRS2313338,SAMN07277630,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755962,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,1959064,1667474,25622,70082,69530,222,80,46090,3,8826,15479,38279,989,1487646,SRX2956142,PRJNA391912,SRS2313345,SAMN07277623,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755969,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2372332,2249219,21758,55108,54524,213,31,17543,1,6011,11657,30139,803,2127926,SRX2956149,PRJNA391912,SRS2313352,SAMN07277616,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755976,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3670414,2482585,44694,250636,248930,301,123,72004,5,13707,38468,55393,2597,2049652,SRX2956156,PRJNA391912,SRS2313359,SAMN07277639,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755983,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3040609,2778050,47328,344491,343096,323,158,39330,7,20654,27069,66526,3075,2276740,SRX2956163,PRJNA391912,SRS2313366,SAMN07277789,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755990,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3286710,2450812,49812,432675,430683,360,150,76245,5,15937,45737,76137,3112,1800814,SRX2956170,PRJNA391912,SRS2313373,SAMN07277781,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755997,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,4929114,3609108,104631,1165750,1162773,463,628,139912,26,69437,78498,305834,12753,1836270,SRX2956177,PRJNA391912,SRS2313380,SAMN07277773,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756004,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,1449801,1405406,21447,105649,104905,240,57,6057,0,7863,9030,28791,1060,1246899,SRX2956184,PRJNA391912,SRS2313387,SAMN07277846,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756010,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3462757,2582603,38695,191344,190130,290,126,131535,1,13014,21856,64418,2171,2158138,SRX2956190,PRJNA391912,SRS2313393,SAMN07277838,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756017,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2444178,1936786,47170,504727,503375,383,220,57071,4,23760,34426,96181,3778,1216619,SRX2956197,PRJNA391912,SRS2313399,SAMN07277831,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756024,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3174007,2863083,50878,377560,375864,350,189,82187,12,18440,42903,102020,4069,2235703,SRX2956204,PRJNA391912,SRS2313408,SAMN07277824,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756030,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2545963,2449479,24527,97296,96687,251,39,7980,0,7040,11509,29010,1173,2295432,SRX2956210,PRJNA391912,SRS2313413,SAMN07277818,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756036,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2899988,2693453,49627,481897,480621,376,188,40606,7,25352,38178,86088,4130,2017007,SRX2956216,PRJNA391912,SRS2313419,SAMN07277764,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756050,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,4369011,2312298,66892,363801,360014,341,261,128180,8,26133,66667,102560,3806,1620882,SRX2956230,PRJNA391912,SRS2313433,SAMN07277412,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756057,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2673005,1698838,26951,65760,64194,231,33,11263,1,5899,15233,26904,761,1572984,SRX2956237,PRJNA391912,SRS2313440,SAMN07277404,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756064,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,2699724,1980661,27289,69758,68350,209,45,5351,2,5077,18321,21119,938,1860050,SRX2956244,PRJNA391912,SRS2313447,SAMN07277397,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756071,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Immune,No,CD15_cell,158,11,3229492,2670848,51820,340930,339198,353,143,59643,9,21335,78334,111789,3944,2054721,SRX2956251,PRJNA391912,SRS2313454,SAMN07277812,GEO,DOI: 10.1093/nar/gkx706,28934507
