Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
DRR041504,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2314993,2048529,109108,572588,570579,497,1091,69674,3792,77985,1085273,65077,14258,158791,DRX037138,PRJDB2675,DRS008197,SAMD00004864,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041616,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2910584,2762162,124203,735695,732831,530,1649,404803,8425,51709,1290128,50939,13774,205040,DRX037250,PRJDB2675,DRS008196,SAMD00004821,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR5127232,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,RBC,SRR5127232,Red_blood_cell,151,49,24526629,24287204,170379,21298180,21292211,728,20032,105694,108,31541,622327,1802986,8791,397545,SRX2441510,PRJNA358331,SRS1876176,SAMN06176871,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
SRR1005873,SRP029994,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,4,46,13864343,8039671,197712,1331540,1321951,476,1185,16869,40,12111,43863,6259216,2076,372771,SRX362356,PRJNA219428,SRS489181,SAMN02354136,BOND UNIVERSITY,-,-
SRR1005879,SRP029994,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,4,46,12289770,7836168,142162,964222,956925,429,799,16266,32,5009,34483,6533338,1668,280351,SRX362362,PRJNA219428,SRS489187,SAMN02354142,BOND UNIVERSITY,-,-
SRR2496782,SRP064104,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Plasma,No,Plasma,36,46,5449908,5449908,252914,1726688,1706138,305,276,7169,4,498,326531,61627,4232,3322883,SRX1277941,PRJNA296772,SRS1082460,SAMN04103630,KEELE UNIVERSITY,-,-
SRR2496785,SRP064104,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Plasma,No,Plasma,36,46,6810254,6810254,48450,6178629,6175190,263,319,8894,0,699,67916,61019,2797,489981,SRX1277944,PRJNA296772,SRS1082457,SAMN04103641,KEELE UNIVERSITY,-,-
SRR2496787,SRP064104,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Plasma,No,Plasma,36,46,9210481,9210481,93228,7689743,7682712,222,477,6865,0,756,137121,28101,2611,1344807,SRX1277946,PRJNA296772,SRS1082455,SAMN04103643,KEELE UNIVERSITY,-,-
SRR2496789,SRP064104,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Plasma,No,Plasma,36,46,8581225,8581225,61572,7217776,7206107,118,402,13660,0,301,117059,24967,3062,1203998,SRX1277948,PRJNA296772,SRS1082471,SAMN04103645,KEELE UNIVERSITY,-,-
SRR4328126,SRP090716,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,1,46,7562889,1472346,347845,137732,62971,187,10,4682,9,4063,513157,139186,11124,662383,SRX2205004,PRJNA345068,SRS1723845,SAMN05856659,DANA-FARBER CANCER INSITUTE,-,-
SRR5092300,SRP094840,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,53,46,14148183,14074454,438714,11491415,11441473,968,4991,82851,847,167759,187341,1731269,26048,381933,SRX2409148,PRJNA356856,SRS1847387,SAMN06128110,GEO,-,-
SRR5092302,SRP094840,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,53,46,8803057,8780351,235918,7390119,7377761,693,509,27423,267,12496,79773,1036047,18918,214799,SRX2409150,PRJNA356856,SRS1847389,SAMN06128108,GEO,-,-
SRR5092303,SRP094840,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,53,46,12900724,12796084,328578,9186083,9167416,777,10661,103056,579,3738,78930,3071937,18687,322413,SRX2409151,PRJNA356856,SRS1847390,SAMN06128107,GEO,-,-
SRR5092304,SRP094840,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,53,46,9499221,9464555,267997,7135509,7114901,757,5674,71274,516,4989,61179,1927730,13095,244589,SRX2409152,PRJNA356856,SRS1847391,SAMN06128106,GEO,-,-
SRR5092305,SRP094840,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Plasma,No,Plasma,53,46,9053004,8978005,268247,7854177,7836885,776,2083,31229,320,4476,77309,773004,9578,225829,SRX2409153,PRJNA356856,SRS1847392,SAMN06128111,GEO,-,-
SRR5233974,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,7632260,7614133,162188,212961,208632,353,542,21909,34,253,26767,6928061,12583,411023,SRX2541523,PRJNA371503,SRS1960715,SAMN06308900,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233975,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,8204275,8186631,155657,214445,210065,355,588,23359,23,198,27190,7508463,11185,401180,SRX2541523,PRJNA371503,SRS1960715,SAMN06308900,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233976,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,8432693,8408378,202835,222030,217383,357,547,23897,26,289,28917,7414770,11654,706248,SRX2541523,PRJNA371503,SRS1960715,SAMN06308900,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233977,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,5866665,5842087,136013,158987,155177,305,402,18228,19,215,21988,5271182,6503,364563,SRX2541523,PRJNA371503,SRS1960715,SAMN06308900,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233979,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,21976339,10395858,590451,378528,222137,472,447,12868,3,356,14976,5088687,3896,4896097,SRX2541524,PRJNA371503,SRS1960716,SAMN06308899,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233980,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,19380831,9456256,623133,320101,189513,440,643,10899,2,335,12626,5003099,3317,4105234,SRX2541524,PRJNA371503,SRS1960716,SAMN06308899,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233981,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,12514908,5816156,344951,213895,148468,383,260,7689,1,223,9928,3620167,2524,1961469,SRX2541524,PRJNA371503,SRS1960716,SAMN06308899,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233990,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,40645003,39982839,645984,535168,530587,571,1717,155896,26,1322,72323,32545962,21037,6649388,SRX2541527,PRJNA371503,SRS1960719,SAMN06308896,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233991,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,32823994,32336864,581789,448294,444480,559,1444,123151,21,1214,55466,26670799,17435,5019040,SRX2541527,PRJNA371503,SRS1960719,SAMN06308896,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233992,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,35265727,34772203,612531,468706,464638,570,1508,130090,20,1252,59308,28758369,18443,5334507,SRX2541527,PRJNA371503,SRS1960719,SAMN06308896,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233993,SRP098943,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,36717369,36245440,599086,475639,471658,551,1426,114990,13,1204,57452,29575174,15722,6003820,SRX2541527,PRJNA371503,SRS1960719,SAMN06308896,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233998,SRP098943,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,17259060,10540765,390503,1798238,1736057,650,1129,42018,2,1002,72222,2476298,32217,6117639,SRX2541529,PRJNA371503,SRS1960721,SAMN06308894,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5233999,SRP098943,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,12615541,4033054,202798,232407,173130,347,41,9157,0,187,26520,112753,5759,3646230,SRX2541529,PRJNA371503,SRS1960721,SAMN06308894,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5234000,SRP098943,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,10418328,5824722,245304,929127,888778,581,378,21103,6,611,43792,570004,17281,4242420,SRX2541529,PRJNA371503,SRS1960721,SAMN06308894,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5234001,SRP098943,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,124,46,12625219,6877751,224768,1156227,1111695,566,447,27394,7,465,53603,903038,23445,4713125,SRX2541529,PRJNA371503,SRS1960721,SAMN06308894,GEO,DOI: 10.1038/nbt.4183,30010675
SRR5297835,SRP100880,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Plasma,No,Plasma,55,46,8530125,8287154,304615,2592095,2587878,595,2789,2685723,3715,341210,1666387,200364,72238,722633,SRX2600024,PRJNA377345,SRS2018965,SAMN06471546,GEO,-,-
SRR5297836,SRP100880,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Plasma,No,Plasma,55,46,8048144,7804855,245417,1518213,1514772,532,2878,2081325,2549,346770,2997969,140224,49431,665496,SRX2600025,PRJNA377345,SRS2018964,SAMN06471545,GEO,-,-
SRR5297839,SRP100880,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Plasma,No,Plasma,55,46,6304231,6072744,169351,2487007,2483333,503,2751,2334662,1734,148082,285250,120627,71591,621040,SRX2600028,PRJNA377345,SRS2018968,SAMN06471544,GEO,-,-
SRR5297840,SRP100880,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,Plasma,No,Plasma,55,46,5056028,4888561,231321,1060020,1056536,497,1439,1499784,374,220207,1295406,118666,188964,503701,SRX2600029,PRJNA377345,SRS2018969,SAMN06471543,GEO,-,-
SRR5939870,SRP115577,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,39,46,6164453,3770846,373320,239369,163513,196,54,16822,1,362,336902,195066,5795,2976475,SRX3098472,PRJNA398121,SRS2434775,SAMN07501752,JCVI,DOI: 10.1371/journal.pone.0166202,27835701
SRR5939881,SRP115577,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,39,46,10752032,5663199,851750,227770,88474,177,25,9424,0,395,531268,130068,6427,4757822,SRX3098461,PRJNA398121,SRS2434764,SAMN07501771,JCVI,DOI: 10.1371/journal.pone.0166202,27835701
SRR5939886,SRP115577,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,39,46,20987341,11014748,833935,714149,507701,262,111,24271,2,3807,1035894,471982,11085,8753447,SRX3098456,PRJNA398121,SRS2434759,SAMN07501769,JCVI,DOI: 10.1371/journal.pone.0166202,27835701
SRR5939888,SRP115577,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,39,46,29374650,18591899,1274130,1548360,1269419,318,157,57563,9,1908,1075704,4131509,17222,11759467,SRX3098454,PRJNA398121,SRS2434757,SAMN07501761,JCVI,DOI: 10.1371/journal.pone.0166202,27835701
SRR6336958,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,6542431,4098827,241119,1167527,1080342,271,6,9950,11,1400,67005,136038,15153,2701737,SRX3436087,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336960,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,5243621,4607148,92783,3368026,3356702,268,105,6039,1,5251,46163,538305,4484,638774,SRX3436085,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336972,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,4688925,4523607,72382,3855418,3853487,333,115,4900,0,4291,25416,432181,2464,198822,SRX3436073,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336981,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,7290169,4136639,111305,1236373,1184665,201,109,5866,9,2251,91897,249645,7149,2543340,SRX3436064,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336982,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,4307625,3833475,85398,2929491,2920518,284,107,4786,2,4033,38169,324560,2927,529400,SRX3436063,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336983,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,4049030,3884496,92805,3259582,3255584,334,90,4793,0,4079,26424,382794,2195,204539,SRX3436062,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6336991,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,6613774,3638135,90316,1065911,1021885,219,96,6280,0,1748,122937,184689,6204,2250270,SRX3436054,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6337002,SRP125929,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,96,46,5331148,3643817,49876,1170639,1158027,190,168,3729,0,2192,25464,197283,5717,2238625,SRX3436043,PRJNA419919,SRS2727068,SAMN08100383,UNIVERSITY LUXEMBOURG,-,-
SRR6761159,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,6644136,3156291,1697132,670352,659155,266,40,6139,4,1277,21633,116931,1173,2338742,SRX3733620,PRJNA435535,SRS2990659,SAMN08580562,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761163,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8960549,5900544,2796169,1519509,1499028,318,114,4634,2,2188,20056,155134,1693,4197214,SRX3733624,PRJNA435535,SRS2990663,SAMN08580558,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761165,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,6967596,3945699,2052091,778968,764296,261,70,3940,1,3022,21130,137647,1430,2999491,SRX3733626,PRJNA435535,SRS2990665,SAMN08580556,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761168,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,7672286,3652740,2122165,399787,386637,212,54,4844,3,811,17143,56620,1150,3172328,SRX3733629,PRJNA435535,SRS2990668,SAMN08580553,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761170,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8086114,2773021,2036931,127814,120740,162,23,1960,1,637,8184,66349,483,2567570,SRX3733631,PRJNA435535,SRS2990671,SAMN08580551,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761171,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8512960,3691861,2582487,206494,196456,260,360,7801,522,88396,34014,122818,11087,3220369,SRX3733632,PRJNA435535,SRS2990670,SAMN08580550,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761172,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8518381,3356373,2373132,185477,169112,185,25,1676,0,262,5864,47613,622,3114834,SRX3733633,PRJNA435535,SRS2990672,SAMN08580549,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761174,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,4282503,1825993,1279453,192591,183446,162,7,522,0,563,3249,26955,361,1601745,SRX3733635,PRJNA435535,SRS2990674,SAMN08580547,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761175,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,9878416,5539066,3358450,1086390,1069604,260,114,7394,4,893,24768,109687,1154,4308662,SRX3733636,PRJNA435535,SRS2990675,SAMN08580546,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761176,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8638248,3651507,2603635,176891,157961,175,18,2259,2,357,11219,58064,766,3401931,SRX3733637,PRJNA435535,SRS2990676,SAMN08580545,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761177,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,9051766,3222096,2180352,167570,150681,161,12,1261,1,777,5857,34432,454,3011732,SRX3733638,PRJNA435535,SRS2990677,SAMN08580544,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761178,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8161355,2919977,2063136,113407,99708,146,4,1192,1,317,5147,32664,389,2766856,SRX3733639,PRJNA435535,SRS2990678,SAMN08580543,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761179,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,9530966,4623618,2872535,847699,836599,207,27,2706,3,496,13929,68079,596,3690083,SRX3733640,PRJNA435535,SRS2990679,SAMN08580542,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761180,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,9450249,4853821,3178088,638057,613050,223,39,2977,1,817,19166,78518,945,4113301,SRX3733641,PRJNA435535,SRS2990680,SAMN08580541,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761185,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8553193,4114995,1578408,684459,654052,301,36,5483,7,1208,34532,216281,2528,3170461,SRX3733646,PRJNA435535,SRS2990685,SAMN08580536,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761186,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,8797517,2660853,1215574,307842,287769,237,31,3462,6,576,27257,96954,1463,2223262,SRX3733647,PRJNA435535,SRS2990686,SAMN08580575,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761197,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,11030262,4322812,787159,745906,722571,332,150,17315,10,2491,103271,245934,3252,3204483,SRX3733658,PRJNA435535,SRS2990698,SAMN08580564,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6761198,SRP133275,Illumina HiScanSQ,miRNA-Seq,size fractionation,Plasma,No,Plasma,132,46,10834234,4537408,770457,983992,956927,340,138,13550,14,1709,94589,212690,4072,3226654,SRX3733659,PRJNA435535,SRS2990697,SAMN08580563,GEO,DOI: 10.1161/CIRCRESAHA.117.311572,28724745
SRR6880326,SRP136264,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,11,46,17674643,16970061,434411,2841317,2825307,580,7705,1739567,247,3134,344632,10900489,194076,938894,SRX3832912,PRJNA445293,SRS3080633,SAMN08773907,NORGEN BIOTEK,-,-
SRR6880338,SRP136264,Illumina HiSeq 4000,miRNA-Seq,size fractionation,Plasma,No,Plasma,11,46,15674548,14825459,452995,2956891,2938772,584,7907,1763549,270,5336,572345,8485450,170283,863428,SRX3832900,PRJNA445293,SRS3080622,SAMN08773909,NORGEN BIOTEK,-,-
SRR7081773,SRP143977,Illumina HiSeq 1000,miRNA-Seq,size fractionation,Plasma,No,Plasma,13,46,9682879,4904026,510670,1951648,1899011,407,229,42100,6,1219,210485,615993,7024,2075322,SRX4011532,PRJNA454202,SRS3233109,SAMN08999724,GEO,DOI: 10.1038/s41436-018-0103-8,29997386
SRR7081774,SRP143977,Illumina HiSeq 1000,miRNA-Seq,size fractionation,Plasma,No,Plasma,13,46,9747665,5736637,450434,2517477,2476847,520,382,18395,9,4795,150984,1435460,5870,1603265,SRX4011533,PRJNA454202,SRS3233110,SAMN08999723,GEO,DOI: 10.1038/s41436-018-0103-8,29997386
SRR7288136,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,5094180,2111015,675033,435890,388759,242,40,8556,2,135,103601,258580,4294,1299917,SRX4191534,PRJNA475497,SRS3402743,SAMN09390408,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288137,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,5006880,2072846,658366,433439,386146,224,40,8303,1,135,102059,253185,4214,1271470,SRX4191534,PRJNA475497,SRS3402743,SAMN09390408,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288138,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,5225044,2171070,688665,447158,398966,251,48,8740,5,148,106802,266985,4345,1336839,SRX4191534,PRJNA475497,SRS3402743,SAMN09390408,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288139,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,5220115,2160608,675047,451225,403018,243,52,8747,3,138,106405,264486,4550,1325002,SRX4191534,PRJNA475497,SRS3402743,SAMN09390408,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288236,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,3600981,1689099,404639,508606,476733,174,8,2573,1,125,123875,106347,1437,946127,SRX4191559,PRJNA475497,SRS3402768,SAMN09390397,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288237,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,3544386,1661160,395779,504851,473906,170,13,2619,0,100,121247,104248,1354,926728,SRX4191559,PRJNA475497,SRS3402768,SAMN09390397,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288238,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,3681415,1732414,411834,520369,487783,188,10,2738,0,116,127580,108726,1420,971455,SRX4191559,PRJNA475497,SRS3402768,SAMN09390397,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288239,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,3686715,1735165,407918,526775,494038,176,18,2697,1,110,126770,108614,1477,968703,SRX4191559,PRJNA475497,SRS3402768,SAMN09390397,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288280,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,2771085,952057,393550,103061,77796,163,6,2658,1,84,71255,51356,1118,722518,SRX4191570,PRJNA475497,SRS3402778,SAMN09390452,GEO,DOI: 10.1210/en.2018-00836,30358826
SRR7288281,SRP150202,NextSeq 500,miRNA-Seq,size fractionation,Plasma,No,Plasma,152,46,2722082,928200,384322,101135,76332,162,8,2613,3,74,68934,49790,1202,704441,SRX4191570,PRJNA475497,SRS3402778,SAMN09390452,GEO,DOI: 10.1210/en.2018-00836,30358826
