miRNA,DRR041355,DRR041393,DRR041447,DRR041467,DRR041473,DRR041487,DRR041493,DRR041504,DRR041511,DRR041517,DRR041527,DRR041530,DRR041536,DRR041554,DRR041575,DRR041578,DRR041592,DRR041616,DRR041620,SRR1005873,SRR1005879,SRR1044598,SRR1664893,SRR1664894,SRR1664895,SRR1664896,SRR1664897,SRR2496782,SRR2496785,SRR2496787,SRR2496789,SRR4328126,SRR5092300,SRR5092302,SRR5092303,SRR5092304,SRR5092305,SRR5127232,SRR5233974,SRR5233975,SRR5233976,SRR5233977,SRR5233979,SRR5233980,SRR5233981,SRR5233990,SRR5233991,SRR5233992,SRR5233993,SRR5233998,SRR5233999,SRR5234000,SRR5234001,SRR5297835,SRR5297836,SRR5297839,SRR5297840,SRR5755825,SRR5755860,SRR5755895,SRR5755902,SRR5755909,SRR5755916,SRR5755923,SRR5755930,SRR5755937,SRR5755944,SRR5755951,SRR5755958,SRR5755965,SRR5755972,SRR5755979,SRR5755986,SRR5755993,SRR5756000,SRR5756007,SRR5756060,SRR5756067,SRR5756074,SRR5756081,SRR5756088,SRR5756095,SRR5756102,SRR5756109,SRR5939870,SRR5939881,SRR5939886,SRR5939888,SRR6336958,SRR6336960,SRR6336972,SRR6336981,SRR6336982,SRR6336983,SRR6336991,SRR6337002,SRR6761159,SRR6761163,SRR6761165,SRR6761168,SRR6761170,SRR6761171,SRR6761172,SRR6761174,SRR6761175,SRR6761176,SRR6761177,SRR6761178,SRR6761179,SRR6761180,SRR6761185,SRR6761186,SRR6761197,SRR6761198,SRR6880326,SRR6880338,SRR7081773,SRR7081774,SRR7288136,SRR7288137,SRR7288138,SRR7288139,SRR7288236,SRR7288237,SRR7288238,SRR7288239,SRR7288280,SRR7288281,SRR7288282,SRR7288283,SRR7288288,SRR7288289,SRR7288290,SRR7288291,SRR7288360,SRR7288361,SRR7288362,SRR7288363,SRR7288380,SRR7288381,SRR7288382,SRR7288383,SRR7288396,SRR7288397,SRR7288398,SRR7288399,SRR7288408,SRR7288409,SRR7288410,SRR7288411,SRR7288432,SRR7288433,SRR7288434,SRR7288435,SRR7288460,SRR7288461,SRR7288462,SRR7288463,SRR7288536,SRR7288537,SRR7288538,SRR7288539,SRR7360482,SRR7360485,SRR7360496,SRR7360501,SRR7360502,SRR7360505,SRR7360519,SRR7360520,SRR7360525,SRR7360540,SRR7360541,SRR7360543,SRR7360558,SRR7360563,SRR7545527,SRR7545528,SRR7545529,SRR7644105,SRR7644106,SRR7644107,SRR7644108,SRR8944248,SRR8944249,SRR8944250,SRR8944251,SRR8944252,SRR8944253,SRR8944254,SRR8944255,SRR8944256,SRR8944257,SRR8944258,SRR8944259
hsa-miR-181b-5p,10.05001666,7.483095144,9.873904154,11.83544865,10.315271,9.932543795,10.59419513,11.44685814,10.24576721,10.95990208,10.56041892,9.953667859,9.702308162,10.01725435,9.970256558,9.872136034,10.05297096,11.21832203,9.898394614,10.76070315,10.14745423,3.376990242,11.79317962,12.12704003,12.73872488,10.52269775,12.53916612,10.80170617,9.79430059,10.27915793,9.60746232,8.982638024,10.54015858,11.11055635,11.74819507,10.39333213,9.817670148,12.5245319,1.199751638,2.4735235,4.298181076,1.525173102,8.963157722,9.062617188,8.740246116,10.01019775,10.10176213,9.910430951,10.00341221,11.12805116,8.645793728,10.34908561,10.69691197,13.52069939,12.00474066,12.94683018,11.6490184,7.956957316,5.039068862,5.237813252,5.109693455,5.436898761,4.954811165,3.071031233,6.004123722,4.992436414,5.210016836,3.969295493,4.758847453,4.708269803,4.939179996,7.005962034,6.854995344,6.029608128,6.850126739,5.316608193,4.971514537,4.826569713,6.18102844,6.171230123,4.297329112,7.01395353,7.041544618,5.80326583,7.4666518,6.570910569,8.650324904,9.984076665,9.917963077,10.35201278,10.68677163,9.94791442,10.79449371,10.4243013,9.52788906,10.57675201,8.272402805,7.467671216,7.764905631,5.873594474,5.149631432,10.98079273,6.12414332,5.925215956,7.853778096,5.709315091,5.556609225,5.398575482,6.398171315,5.994300769,8.642240305,7.908720294,8.238907138,9.156926764,10.77766217,9.554511473,10.32496654,11.1388767,7.972378242,8.280037596,7.834147801,8.093753259,5.532765817,5.232724937,4.871559657,5.697093454,4.733979119,4.317492177,5.14027729,-3.45182058,4.713510215,5.699305234,6.327308744,5.943329511,7.213611009,8.1056355,7.473877178,7.572354291,6.723106311,6.298851526,6.75521241,6.227484726,5.987753726,6.159165737,6.818439903,6.984245451,5.33135191,6.306252307,6.323474119,5.179416942,7.565284511,7.984861086,7.66914199,7.62110903,6.897127925,6.808702569,6.734224833,7.128969538,6.252853034,6.611389492,6.814099463,6.056477119,7.738034739,9.057072835,8.102270519,7.639369389,7.74622529,6.171796751,8.68046365,7.793328817,8.79092282,6.775352704,7.811668126,7.889347384,6.087684607,7.755240763,8.474368558,7.991676724,8.852221172,6.753871013,7.480731467,7.437817176,7.175493359,7.573362976,7.666923645,8.50325661,8.155980563,9.38265129,8.615328656,10.6899323,7.573708114,9.184806745,8.118193155,7.972520542,9.735850823
hsa-miR-320a-3p/320b/320c/320d/320e,9.876823214,11.07633666,10.571375,10.88975608,10.97408509,10.09034184,10.64329351,9.84250514,10.01087669,10.56544413,10.15455293,11.8675027,11.33834805,10.74600672,10.61084266,11.38384671,10.62528589,10.54373791,11.7079564,12.32082769,12.47248005,3.376990242,14.50617089,15.08989266,15.39878219,14.34030783,15.28505445,15.44674938,14.51285305,14.93351414,15.91449236,11.27687461,14.36349225,17.83903899,18.13267094,17.61581405,17.30580992,14.96073773,14.35906897,14.49246359,14.3207155,13.77194929,12.18483959,12.15007034,11.93103913,14.40868919,14.16702023,14.18503471,14.36737412,14.58693394,11.91776263,13.84232192,14.32188554,11.6508428,11.37002732,9.482991665,9.40294031,10.53671996,8.218719397,6.768754374,7.989854217,7.816089687,8.478920374,8.215768711,9.535620882,7.870662653,7.360695399,8.128236568,8.481109236,7.361950522,8.242555187,9.296554359,8.997292329,9.162246103,9.360679396,8.535308894,7.373764932,9.662210696,9.330517447,9.524943655,8.568744308,9.812305859,8.999284777,8.741552756,12.14742449,7.835129608,12.58918196,13.46715432,11.78117083,14.74828762,14.27336061,12.00258736,14.13721,13.98914131,11.77311721,12.1721755,11.49988751,11.84656,11.82060657,11.38929049,10.46315361,11.04335894,10.67408766,9.958547087,12.55678151,10.92057849,10.75642551,9.73616794,11.79671058,11.0701732,12.3982956,12.01096912,12.59206385,12.98720134,14.61519337,14.74884235,13.27254531,13.76863599,10.64664843,10.64550076,10.54361863,10.61259425,9.050646017,8.972167428,8.941550148,8.995382123,9.139945919,9.095306251,9.366676836,9.29512048,9.415473002,9.519685628,9.738486503,9.65015252,9.741594419,9.888915837,9.575168127,9.519999194,9.894592873,9.72452283,9.895016173,9.953238622,9.635801186,9.718528811,9.415473002,9.553360974,8.719720875,8.704613256,8.540444403,8.815934394,9.758714168,9.898986093,9.932327368,9.837548067,9.457937367,9.333028077,9.501334592,9.343392408,9.394678772,9.149933516,9.477204444,9.48548528,11.47264851,11.56744129,10.03955673,8.636746803,9.101243717,11.15104432,9.889691582,10.36995222,9.62189721,9.834331067,10.70879821,10.44038639,8.441403882,9.722558841,13.30648406,13.17749015,13.56125062,13.33086224,13.21254232,13.35832904,13.287188,9.990706353,8.02985715,11.04713851,10.72581202,11.84425213,10.67615485,11.25937573,11.28626696,12.02714614,9.363077116,9.933674844,11.7770307
hsa-miR-21-3p,10.96186066,10.39929158,12.16169845,13.06589365,12.93094641,13.22705226,12.84104081,11.95785077,13.27148508,12.6627846,13.05360385,12.46472833,11.86071053,12.43242784,12.42390468,11.90273697,11.19902254,11.62911191,10.98908737,10.36287301,10.67242022,-4.577468404,9.49686803,9.132001282,11.03812142,7.099438429,9.823711669,11.5598828,9.79430059,10.00257291,9.959333479,2.919402967,9.049871502,5.166800122,4.079576556,4.478014359,3.825777572,11.97108071,-5.324997716,-5.171920652,-5.41471508,-1.423133404,7.880031991,7.404090961,7.814875825,6.376324977,6.453146151,6.925136372,6.160982819,10.34656177,8.410462634,9.838246104,10.36098822,10.44368146,9.409752912,11.85543224,9.877700567,7.304625964,3.42782706,-3.15398837,3.49178163,3.51923947,3.451798074,1.146642328,4.117438324,0.993050116,3.20328082,1.615007846,2.038488707,1.183730596,-3.38034997,6.371881219,6.095282903,6.029608128,5.766654829,4.61974128,3.495938324,3.313811434,3.564241188,-4.272594363,-3.409977493,1.581542772,3.229360779,2.296448424,4.697993782,5.668891055,7.487969828,8.546478322,9.779137298,8.323470168,8.922388416,10.06570619,8.391546279,8.761471099,9.277556973,10.22137821,7.224193382,6.629023847,6.817391999,5.736849076,5.941714656,9.356536049,6.57716862,1.821491123,6.23531217,5.709315091,6.199434682,2.059957071,4.874049739,6.212503682,7.086562294,7.23650169,7.196255503,7.458495855,10.56972092,10.68131421,4.084800083,8.446041593,6.367472914,6.657272627,6.408805558,6.462031979,5.43225261,1.34707421,4.287921053,5.516455046,5.325959466,5.556609225,6.091405417,5.932722093,5.375798694,5.442542403,4.038699817,4.351172066,6.843365084,6.680290182,6.481834622,6.757978566,6.18670635,6.922820302,6.798592451,6.800741693,6.54985436,6.673593816,6.024375196,6.841426605,6.102167803,5.33135191,5.546707,6.326644082,7.373174488,6.762577103,6.690765455,7.82156708,6.327896004,6.357622347,5.975414177,6.196032715,5.722024396,5.066546495,5.981295428,4.628144976,4.08992878,7.588704202,8.332303138,2.189625641,4.792568084,1.835923304,5.153473396,5.687571592,7.050252132,5.909065802,5.3838727,5.275669806,6.141525855,5.093556364,4.817046689,6.082697964,5.285145108,-3.662886979,-3.686164096,-3.645906364,-3.45182058,6.121958588,-2.993553767,-1.014688099,-4.542855878,3.807355182,3.175089163,5.343051526,-4.871779022,2.743079734,-3.673479473,-4.388727169,-5.405385519
hsa-miR-151a-5p/151b,10.31495054,13.21067009,13.08567837,13.19323072,13.1695291,12.67098954,13.24841129,12.32852156,12.52321262,13.40002198,12.50221658,13.78657976,13.1110141,12.51197334,12.74321952,13.12607099,12.4500801,13.0541923,14.06623249,14.01220517,13.57583585,10.76029691,14.43790509,14.63470564,15.66219079,12.07599397,15.09417106,10.18842308,10.49866629,9.411620639,10.61150752,1.507242701,8.15563711,5.520751142,10.50561593,9.594592629,8.884051599,16.58201027,3.119735911,-0.73200869,1.458082825,0.148414127,10.78358327,10.75354617,10.43296482,11.27954486,10.98867655,11.0763937,10.85718286,12.97270617,10.99382063,12.33856326,12.788158,11.68026298,11.80783188,9.377905528,11.03113222,11.27318707,9.03204366,8.810157501,9.925928205,9.852070168,9.785391944,9.354233416,10.35855305,8.237509292,8.944781393,9.848172948,9.293007561,8.214636848,8.705314494,11.08567203,11.54297376,11.20850259,11.10122211,10.24489904,8.45796154,8.822627746,10.44582912,10.05998225,8.494971691,9.459917533,9.954363702,9.490349311,8.082742806,9.180463707,9.721374478,10.0355295,10.17010173,6.890499959,8.705509581,7.954262124,8.702736017,8.440081756,8.474418594,9.72548423,10.47398414,10.98846973,10.08838185,9.274626501,8.844701777,8.936368834,9.072180641,8.983331663,10.01402076,8.749457503,7.965802836,8.417221675,9.726062545,9.584936961,9.53953649,8.979558305,10.24033491,10.40529539,16.75580653,16.87317583,9.458604997,10.60305889,10.20654068,10.11822865,9.864528509,10.10261443,9.256493786,8.997077487,9.338929851,9.271768381,6.90741058,7.39111037,7.723257684,7.659892515,8.203950505,8.539808236,8.575690132,8.41477267,9.629209675,9.791696247,9.737343281,9.793609317,9.704556262,9.666655665,9.637598794,9.758605927,8.790441532,8.338447087,8.621272242,8.855299271,8.848822448,8.642511038,8.192792841,8.457453162,9.27249514,9.240454637,8.85760809,9.284122335,8.883399521,8.738511833,8.757264713,8.703756016,7.44899814,8.121933056,8.031107908,7.83340873,8.466051514,7.615303076,9.820844093,6.386435473,6.418755295,9.273067399,8.010944425,8.823805076,6.418435882,8.697993374,8.252086328,9.114742886,7.244465191,9.499304957,15.06740237,14.80362587,15.02247196,3.482517452,1.821491123,2.650506962,-3.45182058,11.74013518,7.384459417,11.57451982,11.74792699,12.79204593,12.18011429,13.01962419,10.43374121,11.60463996,10.13418667,10.92968991,13.23646716
hsa-miR-223-3p,-6.389641911,-7.143856522,-7.159106643,-7.6829801,-7.44840862,-7.36628225,-7.535968413,-7.355865099,-7.531577133,-7.313048083,-7.303002452,-7.700580624,-7.449301866,0.454624783,-2.332855195,-7.693408087,-6.731698775,-7.62215453,-7.436378297,13.10559852,12.55878902,-4.577468404,7.806264585,6.374619853,8.402996966,3.287673398,7.717136998,9.18369224,9.036412841,6.394440901,-4.227154332,3.976846891,15.33091584,13.90119091,12.69988406,12.31097282,11.38879254,11.57955012,-0.194098837,0.49627526,1.458082825,0.148414127,8.701268546,8.583043247,7.981754195,8.419536862,7.882633275,8.06860525,7.790990301,11.00389796,8.695001722,10.26624108,10.47791306,9.601689111,9.078664696,15.64204206,14.25586314,7.255445619,2.836930739,2.279151366,4.444764145,3.039828453,2.604335872,2.713340331,2.611056192,0.141561336,0.94944753,2.551013773,3.140173199,3.105044632,2.51011766,5.359117812,6.753319006,6.503972994,6.509908582,4.61974128,1.610270883,4.567918771,3.730969238,4.523871418,2.059957071,4.378727373,4.271509983,4.297835752,7.218467398,9.303617997,8.443411359,8.673732864,10.73387383,7.517774737,8.16301261,10.50338197,8.545850367,7.973369478,10.76930264,9.358050319,9.712948902,9.833443466,10.13212839,7.860765731,8.640035447,6.217904147,7.536708536,9.078170681,8.295806808,7.214776604,7.199546779,7.114551018,7.840804883,8.442248645,9.553361094,7.828168455,8.915501192,9.534234601,10.06606808,10.12148245,7.825557411,12.14353025,9.567847679,9.679594731,9.452466353,9.413288603,7.380729047,7.221305325,7.753789314,7.243057789,7.467649722,6.686574721,7.627253569,6.994005399,8.223925418,7.895522335,8.199312399,8.054461414,8.411011516,8.589684311,8.803400607,8.501096369,9.211170708,9.024467178,9.171225073,8.875680584,8.554193941,8.527656846,8.694837357,8.66329742,8.438106318,7.993072547,8.52316161,8.421580271,8.301248961,8.00733802,8.47570873,8.263324756,9.614887666,9.667189773,9.699465715,9.432505765,7.901801556,7.854352451,7.844032263,7.278759972,15.28142971,14.06551751,12.52796227,11.49105502,14.58943959,10.64608982,10.05843739,13.48389114,10.59657253,10.12668736,12.13627692,13.74674737,12.12783522,11.83167118,10.24801974,10.42501222,10.77816819,-3.662886979,3.213925846,-3.645906364,4.078329786,9.403444101,-2.993553767,7.843886026,8.458970768,8.957567344,5.705123093,9.024578307,6.940972727,8.315417643,4.092931217,6.455309905,9.403195339
hsa-miR-206,-6.389641911,-7.143856522,-7.159106643,-7.6829801,-7.44840862,-7.36628225,-7.535968413,6.502473977,-7.531577133,-7.313048083,-7.303002452,-7.700580624,-7.449301866,-7.119104501,-7.452806173,-7.693408087,-6.731698775,-7.62215453,-7.436378297,-6.943448828,-6.651671587,-4.577468404,-6.817691359,-6.544471612,-7.191106501,-5.315317881,-6.90703448,-6.003687026,-5.556537856,-5.212663817,-4.227154332,6.21307566,-11.58723683,1.505579341,-8.991380721,-9.25310877,-9.274961464,-7.700580624,5.982879291,6.092055181,6.133435215,6.006315559,-6.430651735,-6.144330573,-5.692749706,-7.24384051,-7.031258977,-7.211209201,-7.158276471,-8.182176652,-5.717267368,-0.21568718,-7.291717322,-8.081113396,-7.62215453,-7.36970658,-7.247012543,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,-4.201639646,-4.15080577,-5.553853159,-6.140680144,-5.951843837,-5.131874956,-5.452950337,-5.2660281,-5.442039626,-5.595301631,-5.389442496,-4.961661309,-5.086625707,-5.811645834,-4.959303994,-4.259418591,-3.439195598,-4.515607909,-3.997230064,-3.686164096,-4.905175894,-3.645906364,-3.607564282,-3.409977493,1.193278061,-4.523308819,1.664254103,-4.562008005,2.079959193,0.595867897,0.601275584,2.169231254,-6.621833947,-7.362645484,-4.58380887,-4.604703663,-4.845559458,-4.707081036,-3.508000064,-3.63583379,-3.645906364,-3.662886979,-3.653260155,-3.607564282,-3.45182058,-3.45182058,-3.855918963,-3.891853613,-3.967111935,-3.970228342,-4.209139739,-4.128764955,-4.280431061,-4.211053651,-3.997230064,-4.090220971,-4.15080577,-4.272594363,-3.807674465,-3.855918963,-3.855918963,-3.607564282,-3.645906364,-3.645906364,-3.621215868,-3.708099738,-3.855918963,-3.93885155,-3.830650634,-3.717302713,-4.128764955,-4.005786294,-4.11620944,-4.070586001,-3.628238799,-3.384889019,-3.497307487,-3.607564282,1.378449063,1.20801109,4.620711303,3.031572644,0.939145324,-6.161150131,5.903782854,-0.365190526,2.288059606,1.678954363,1.401582381,0.39613708,-4.549693553,4.823989027,-7.102790957,-7.04012982,-7.112861251,-3.662886979,-3.686164096,-3.645906364,-3.45182058,-4.577468404,-2.993553767,-4.535996383,-4.542855878,-5.642683261,-4.586102593,-5.171920652,-4.871779022,-4.569029823,-3.673479473,-4.388727169,-5.405385519
hsa-miR-140-3p,9.941376307,9.660982783,11.54266369,10.30269884,11.59666612,9.909300265,11.30110205,9.802853203,9.979626645,11.64542154,10.52091344,11.71446176,11.26887204,10.2008812,10.42769285,11.02316274,9.492963328,10.49024478,10.6611547,13.29590131,13.05615613,-4.577468404,14.29333582,14.52153804,15.85689263,12.90186141,15.10321699,11.58805119,10.51468597,11.21411396,11.0984085,8.405578982,16.04722418,14.76760848,15.68351165,15.08310999,14.90702384,14.95049978,10.44051574,10.51378739,10.33292839,10.11406669,10.44428143,10.47505914,10.1973981,10.50970035,10.29673272,10.21726558,10.5075478,12.57479399,10.19129615,11.95021886,12.32797666,11.46780675,11.14433598,11.74997437,11.23319976,11.35464687,9.592916217,5.4756587,8.108437816,9.162877568,8.833303803,7.613917736,9.461022753,7.614384546,7.841411369,7.943504865,8.299603185,6.555056243,7.766993735,10.44802266,10.57698042,10.40728157,10.26344739,9.932977983,8.839067571,9.254802324,10.00841261,9.59212845,8.131682408,9.843554649,9.453453573,8.426877446,7.895456519,9.31200238,9.523072793,10.04083654,11.24059156,11.50724737,11.6940445,12.32882214,11.53825767,11.64355875,11.5674098,12.47913253,10.30440936,10.50345978,10.26881722,9.188890484,8.902079945,11.28159337,8.82048914,8.698067893,10.46527035,9.098740776,9.269103004,8.494971691,9.856798327,9.998079971,10.40798609,9.759690747,10.58580195,10.80247765,14.40173123,14.49935194,10.92423647,12.95867029,8.996200999,9.198747499,9.146663477,9.05656299,8.191660543,7.788368027,7.472289565,8.007491258,7.210007595,7.39111037,7.659892515,7.489767069,8.461671861,8.458492146,8.399591901,8.847231111,8.852650457,8.685740057,8.731734197,8.792975524,9.133494584,8.880426801,9.114435135,8.864556112,8.309730761,8.338447087,8.338447087,8.598536783,7.366672293,7.782243175,7.680481556,7.880022603,8.543691072,7.93890192,8.334275507,8.696304455,8.906243893,9.036060914,9.141621803,8.902337994,8.273450223,8.546168276,8.306525319,7.990981334,10.95923197,12.090881,11.61747416,10.01167067,9.532714844,12.01537228,10.01618446,14.45288423,10.46131163,10.94882823,10.65076911,11.50478075,12.17333755,10.62635309,12.45755456,12.4775436,12.81261698,8.534597637,8.487233882,8.658294182,8.909447315,8.690857527,-2.993553767,8.885743914,9.385818789,9.612262386,9.092907872,9.818429918,9.377239616,7.47938323,-3.673479473,-4.388727169,-5.405385519
hsa-miR-199a-5p,12.24795492,12.22813131,12.15107807,13.67245724,13.5990329,13.33884275,13.13985046,11.48181786,12.98096248,13.3088959,12.36179772,13.83793743,11.66866043,12.45783135,12.80620438,13.46092259,12.60277272,11.77197405,14.56937514,11.40163395,10.90136291,-4.577468404,-6.817691359,-6.544471612,-0.220693523,-5.315317881,-1.755209997,4.843624482,-5.556537856,-5.212663817,-4.227154332,0.981378063,12.88249563,10.78357138,13.42899679,12.87304634,11.81085788,4.129385685,6.600838623,6.533984747,6.873530845,5.73980386,6.299544224,6.053215196,5.574786515,5.687960459,5.349361667,6.233131585,5.319342972,7.781542909,5.240038504,6.299574951,7.110002939,10.79960195,9.843491839,6.155647586,8.226373477,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-1.054462433,-1.368964983,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,0.179753324,3.718013791,3.091421285,5.03105172,5.43128404,-5.131874956,-5.452950337,-5.2660281,-5.442039626,-5.595301631,-5.389442496,-4.961661309,5.20435365,6.225039141,2.415581881,3.631770081,4.606688442,-4.515607909,3.212696782,3.213925846,3.11063511,2.650506962,3.526863326,2.059957071,-4.401437031,4.568658658,1.932839277,2.490273458,4.646595724,3.530008442,14.08346471,13.91879929,6.886929935,6.5862447,3.874038262,4.391001889,3.95177015,4.312186624,2.765385773,1.34707421,1.856383585,2.271105791,-3.653260155,1.889572796,2.812033946,1.509498763,4.438839232,3.732404507,4.35356682,3.462650733,5.909403104,2.851373955,4.638374803,4.443616261,2.676513504,2.88318696,2.833160354,3.621282513,0.541391019,3.760847329,2.793907597,3.526863326,4.287921053,2.650506962,4.617778802,3.446214475,4.125285309,3.260043302,4.307037178,3.664643086,4.974489139,4.008503286,4.238690409,4.121408595,3.260952634,2.506295388,3.089183038,3.526863326,10.27702446,10.85888253,8.950344953,7.801447265,7.553658474,8.558204821,3.862093414,3.30056133,6.890614268,7.19831412,8.344691411,9.102414578,7.153480532,6.96473793,6.248435134,4.996411882,4.574866448,-3.662886979,-3.686164096,-3.645906364,-3.45182058,5.115802225,-2.993553767,-4.535996383,5.980431785,5.798557339,-4.586102593,6.604655708,3.488527351,7.318497942,-3.673479473,-4.388727169,6.098855919
hsa-miR-93-5p,6.158767346,10.15191101,7.426875865,9.358185878,8.275311302,10.00914236,7.941833743,9.607524444,9.979626645,6.926386885,9.749640791,7.421807181,6.589706412,7.711158514,8.772732776,7.397513463,7.041037773,8.68554632,8.028861528,11.30378882,11.07227197,15.86793095,17.09223418,17.90549178,18.19152847,16.17362356,17.83615357,10.0249268,10.17439403,10.01706181,8.252360906,-4.046271622,14.07088639,12.0846876,15.23709373,13.78311045,13.34205467,18.71539896,5.473721749,5.406371895,6.173854378,3.575743631,9.648731881,9.458313224,9.15802222,9.135665754,8.973867422,9.216451763,9.324408896,11.79159313,9.399342184,11.0909184,11.43748387,11.49422173,9.84911531,12.63985137,10.86735088,13.76046764,11.58661088,11.60573402,12.24669836,12.62171164,12.31644381,11.90201772,13.13279791,11.70367171,11.96638033,12.00732296,12.23929477,11.45178862,11.71738905,13.92726379,14.04170758,13.85008723,13.83637204,13.51213768,11.95690887,12.53719338,13.79408882,13.13377789,12.3641004,13.63893275,13.2039704,12.57375543,6.583950577,9.989977234,8.853760319,9.350871774,13.53508102,11.93936173,12.41832994,13.46953621,12.3178888,12.23562843,13.26111811,13.71903419,11.57278422,11.92184653,11.73321337,9.693397248,8.902079945,9.612836676,9.387922609,9.988315231,11.89105838,10.18893531,10.09946315,9.875174584,12.13347616,11.83828541,11.28597995,10.45833975,11.91464652,12.59765915,9.934928683,9.736178086,9.982281733,12.44471853,11.11784291,11.02662421,10.9840573,10.99705887,8.568056312,8.406684402,8.491996942,8.48258063,8.654309824,8.922629478,8.808393383,8.683159573,9.002390206,9.25454737,9.188079466,9.298087856,10.23970639,10.15905104,10.24403499,10.14796732,10.85972235,10.71818858,10.81287718,10.63191635,9.657608001,9.505730491,9.648823339,9.753237449,9.01634816,8.577564039,8.747891187,8.829628934,9.677132029,9.383162886,9.639345507,9.729321408,9.680679326,9.855761535,9.773751378,9.905209906,8.466126832,8.546168276,8.674870976,8.769940953,13.08183258,13.12843205,12.85546047,10.41051496,10.66792383,14.44275925,9.491066193,14.27610884,9.776388917,12.78176698,11.84944197,12.92486713,10.88555917,9.879640596,15.00874432,15.26620368,15.17195966,9.653235372,9.649605839,9.661385446,9.54385188,9.139567977,4.013983025,9.723496631,9.157119389,10.1596918,9.491956616,10.97397826,12.3519123,8.878508585,8.861446308,8.769000168,10.83644098
hsa-let-7e-5p,11.17830242,12.19902608,12.7873131,12.37516894,12.56814707,11.34191739,12.67362436,12.05845371,11.3687674,12.75850201,11.48206133,13.76117718,12.94569622,12.66735454,12.52380527,13.29252782,11.95784069,12.34434686,13.16082765,7.628370912,7.40079772,-4.577468404,9.103602209,9.822465179,10.77503239,5.422423956,9.39875711,10.90202365,10.41087521,11.41990546,9.512177799,8.32042437,6.641017008,11.09964594,13.21266371,12.03004675,11.00944337,6.623284352,10.85806572,10.7390718,10.89938342,10.45471989,9.169492216,9.040833278,8.838928431,9.845638965,9.760813749,9.518293217,9.609977649,11.42263292,9.418512558,10.78946058,11.19802281,10.66557909,9.062123829,7.292692412,7.805759736,-5.077215311,-3.421794909,-3.15398837,-3.651338078,-3.89959987,-3.701150267,-3.138088086,-4.07569507,-3.309159003,-3.357584089,-3.331743679,-3.434941667,-3.096665973,-3.38034997,-4.577468404,-4.903499393,-4.708117961,-4.760097714,-4.30500728,-3.337143729,-3.872402671,-4.568141068,-4.272594363,-3.409977493,-4.462330942,-4.259418591,-3.63305617,3.48563622,-4.15080577,2.929940049,5.384496302,8.873253986,8.533035852,7.946371412,9.886992001,8.324932218,7.800050427,9.069459697,9.364329236,8.120353089,9.125428023,7.961391416,6.180480748,5.678404519,11.62921514,5.365641167,5.925215956,7.976816772,6.102167803,5.024592853,3.9077754,6.348598989,5.473887143,8.07175256,7.509169821,9.190117828,9.208944086,11.22216871,11.64324081,7.406720177,7.059290785,6.898152387,7.117525257,6.610309199,6.627275129,4.843411166,-3.63583379,3.926371022,3.913030991,3.240650278,-3.607564282,-3.45182058,-3.45182058,6.092876288,6.320951711,6.743484902,5.560476811,5.772903552,5.528220126,5.33461395,5.699769552,5.77917984,6.058582035,6.139696264,4.867002938,-3.807674465,4.713510215,-3.855918963,4.768457545,5.528787145,4.599018971,-3.621215868,4.824867476,6.159165737,5.965606604,5.661305765,6.122250576,5.3591299,4.845426605,4.381687009,3.957812071,2.665254361,5.30640349,5.334579505,4.768457545,7.588924128,5.708297688,6.137295324,3.202606223,5.452322037,1.835923304,2.868426151,5.974476771,5.115922204,4.394045316,-5.814704782,4.138368393,3.204719733,4.344723368,5.257214641,4.634158645,5.488663387,-3.662886979,-3.686164096,-3.645906364,-3.45182058,10.73140068,8.505194697,12.09620443,10.85948405,13.15389305,12.61165681,12.43380287,7.150558899,11.2212971,11.12980523,11.23511318,14.40252684
