Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR6433712,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_derived,58,5,736011,735995,36932,255925,253942,364,934,9840,2339,4706,42383,5849,2158,411861,SRX3525296,PRJNA428182,SRS2801439,SAMN08283949,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433713,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,3267896,3267845,102827,103220,93904,301,156,10350,138,2649,101859,10168,4057,3035248,SRX3525297,PRJNA428182,SRS2801442,SAMN08283948,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433714,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,5323815,5323750,87911,112999,103963,272,114,3584,276,1509,22223,7349,1495,5174201,SRX3525298,PRJNA428182,SRS2801441,SAMN08283947,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
SRR6433715,SRP127793,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Beta_cell_like_derived,58,5,2246514,2246488,50502,74436,69442,247,63,2392,314,1149,9036,3585,1265,2154248,SRX3525299,PRJNA428182,SRS2801443,SAMN08283946,GEO,DOI: 10.1016/j.stemcr.2019.11.009,31883920
DRR041459,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Breast_epithelial_cell,159,8,1391670,1123196,75016,631358,628931,436,3518,111470,3699,51879,183318,40188,9935,87831,DRX037093,PRJDB2675,DRS008219,SAMD00005625,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041472,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Breast_epithelial_cell,159,8,2161923,1791537,107840,689745,686435,515,4481,147986,5604,67868,644525,70071,12879,148378,DRX037106,PRJDB2675,DRS008221,SAMD00004801,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041581,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Breast_epithelial_cell,159,8,1630077,1457633,92130,566529,563265,459,3994,563179,6869,31281,133776,35949,10869,105187,DRX037215,PRJDB2675,DRS008220,SAMD00004884,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR3760440,SRP078144,Illumina HiSeq 2000,miRNA-Seq,PCR,Epithelial,No,Breast_epithelial_cell,7,8,592901,592830,48369,174437,128949,218,0,31955,258,4417,71655,29588,4670,275850,SRX1907115,PRJNA325939,SRS1547237,SAMN05292449,NATIONAL CANCER INSTITUTE (NCI),-,-
DRR041456,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Bronchial_epithelial_cell,159,9,2835540,2386913,135120,693968,690868,516,3724,135389,3455,125347,1085063,88295,24969,226703,DRX037090,PRJDB2675,DRS008012,SAMD00005270,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041463,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Bronchial_epithelial_cell,159,9,3101012,2644937,128074,823696,820076,525,4389,116581,3148,116013,1243191,93456,16989,227474,DRX037097,PRJDB2675,DRS008013,SAMD00005405,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041490,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Bronchial_epithelial_cell,159,9,1533684,1340853,120491,506672,501789,495,2897,140637,6171,58656,368023,65801,19617,172379,DRX037124,PRJDB2675,DRS008015,SAMD00005472,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR12851430,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1609271,1154124,65987,828354,827018,400,3000,70923,1156,25479,139041,20375,8789,57007,SRX9318397,PRJNA670231,SRS7543225,SAMN16489383,GEO,DOI: 10.1002/path.5571,33095908
SRR12851431,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1658548,1168955,72599,816056,814494,400,4278,77588,2592,33745,145409,18352,10165,60770,SRX9318398,PRJNA670231,SRS7543226,SAMN16489382,GEO,DOI: 10.1002/path.5571,33095908
SRR12851432,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,2138983,1555863,88477,1059476,1057821,427,1477,130998,2323,43577,190501,27354,11905,88252,SRX9318399,PRJNA670231,SRS7543227,SAMN16489381,GEO,DOI: 10.1002/path.5571,33095908
SRR12851433,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1019290,757389,55919,522217,521212,358,1483,50645,1873,19313,97675,10299,8576,45308,SRX9318400,PRJNA670231,SRS7543228,SAMN16489380,GEO,DOI: 10.1002/path.5571,33095908
SRR12851434,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,3625874,2256504,181410,884281,880314,421,3624,466341,1770,43016,413608,104213,18794,320857,SRX9318401,PRJNA670231,SRS7543229,SAMN16489379,GEO,DOI: 10.1002/path.5571,33095908
SRR12851435,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1133240,976198,68407,327108,326387,339,1626,94673,735,211445,116319,115629,31730,76933,SRX9318402,PRJNA670231,SRS7543230,SAMN16489378,GEO,DOI: 10.1002/path.5571,33095908
SRR12851436,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,884721,750769,63888,372251,371562,319,2663,94447,1023,66476,76513,57179,25695,54522,SRX9318403,PRJNA670231,SRS7543231,SAMN16489377,GEO,DOI: 10.1002/path.5571,33095908
SRR12851437,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1555258,1145363,80467,483843,482893,329,2014,142760,680,144489,161271,89495,19660,101151,SRX9318404,PRJNA670231,SRS7543232,SAMN16489376,GEO,DOI: 10.1002/path.5571,33095908
SRR12851438,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1209682,820282,77341,386881,385859,334,1165,133642,776,23517,166971,18035,11805,77490,SRX9318405,PRJNA670231,SRS7543233,SAMN16489375,GEO,DOI: 10.1002/path.5571,33095908
SRR12851439,SRP287855,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,140,9,1559725,1214959,87596,645330,644313,372,3988,111681,1247,87155,178964,63680,18283,104631,SRX9318406,PRJNA670231,SRS7543234,SAMN16489374,GEO,DOI: 10.1002/path.5571,33095908
SRR5220020,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24,9,941963,941958,70256,90489,90028,262,1836,535803,71,1390,154724,19348,9433,128864,SRX2529980,PRJNA369400,SRS1950882,SAMN06285165,GEO,-,-
SRR5220021,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24,9,1355534,1355528,85536,99987,99388,261,2354,870093,88,2057,163784,26479,11382,179304,SRX2529981,PRJNA369400,SRS1950883,SAMN06285164,GEO,-,-
SRR5220022,SRP098650,Illumina MiSeq,ncRNA-Seq,size fractionation,Epithelial,No,Bronchial_epithelial_cell,24,9,1156309,1156304,71806,80852,80389,264,2012,728958,61,1436,159095,27879,9311,146700,SRX2529982,PRJNA369400,SRS1950884,SAMN06285163,GEO,-,-
SRR2061931,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1806067,1547673,171824,511667,509231,422,1120,344388,722,81862,218612,71189,25482,292631,SRX1057913,PRJNA286886,SRS960399,SAMN03771525,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061932,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1213508,541151,72908,103491,102426,257,332,84331,165,46299,76002,35085,9348,186098,SRX1057914,PRJNA286886,SRS960398,SAMN03771526,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061933,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1269536,994107,120790,279194,277153,361,796,180345,510,49128,207431,57916,15473,203314,SRX1057915,PRJNA286886,SRS960396,SAMN03771527,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061934,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1317350,376845,63629,75677,74767,224,234,41184,79,28080,43873,30576,5299,151843,SRX1057916,PRJNA286886,SRS960397,SAMN03771528,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061936,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1634439,990022,125468,293074,290586,335,538,91393,214,35606,180664,41517,6675,340341,SRX1057918,PRJNA286886,SRS960394,SAMN03771530,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061937,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1322653,790772,100208,191952,189715,314,456,88910,247,31298,128349,38862,7257,303441,SRX1057919,PRJNA286886,SRS960351,SAMN03771531,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061938,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,1989066,1237657,124251,391799,388502,385,944,124147,388,51431,183389,66786,9979,408794,SRX1057920,PRJNA286886,SRS960352,SAMN03771532,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
SRR2061940,SRP059444,Illumina MiSeq,miRNA-Seq,size fractionation,Epithelial,No,Conjunctival_epithelial_cell,94,17,3216259,594334,63265,95899,94535,216,207,25041,53,28263,47487,27021,4327,366036,SRX1057922,PRJNA286886,SRS960391,SAMN03771534,GEO,DOI: 10.1186/s12879-016-1367-8,26842862
DRR041417,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Dermal_papilla_cell,159,65,2221029,1859179,94889,875172,871842,528,3371,191174,8954,42775,513450,70321,9208,144754,DRX037051,PRJDB2675,DRS008190,SAMD00005852,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041465,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Dermal_papilla_cell,159,65,1261383,1085781,58309,751879,749177,469,1637,59248,7661,37560,120882,29121,6124,71669,DRX037099,PRJDB2675,DRS008189,SAMD00004905,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041572,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Dermal_papilla_cell,159,65,2127812,1895723,125430,870277,867239,470,2855,467208,11321,33577,309933,47829,11457,141266,DRX037206,PRJDB2675,DRS008188,SAMD00005918,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1664893,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664893,Red_blood_cell,51,49,17692965,17098600,128975,14938190,14935096,517,10661,81084,8,497,208243,1615870,3727,240320,SRX769817,PRJNA268835,SRS753967,SAMN03225413,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664894,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664894,Red_blood_cell,51,49,16713448,16356343,110797,14287188,14284568,497,21996,43166,0,508,166728,1646378,3600,186779,SRX769819,PRJNA268835,SRS753969,SAMN03225414,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664895,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664895,Red_blood_cell,51,49,31614208,31475833,173103,28180483,28174244,622,33700,117413,28,1027,251816,2469781,7016,414569,SRX769818,PRJNA268835,SRS753968,SAMN03225416,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664896,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664896,Red_blood_cell,51,49,9927231,9827320,60220,8928193,8927293,329,3005,14893,1,130,108641,634319,1446,136692,SRX769820,PRJNA268835,SRS753971,SAMN03225415,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664897,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664897,Red_blood_cell,51,49,21196809,20798327,140797,18676961,18673191,565,11034,41779,5,734,163301,1615594,6780,282139,SRX769821,PRJNA268835,SRS753970,SAMN03225412,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
DRR041520,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Esophagus_epithelial_cell,159,22,2077842,1792895,104397,607727,605440,476,3253,97966,2419,94188,767379,65916,15596,138451,DRX037154,PRJDB2675,DRS008130,SAMD00005886,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041532,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Esophagus_epithelial_cell,159,22,2825693,2654505,114284,497210,494553,466,3048,740086,2416,55790,1070312,46562,13168,225913,DRX037166,PRJDB2675,DRS008129,SAMD00005295,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041579,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_ciliated_epithelial_cell,159,23,3355529,3111241,155235,778189,772927,563,3071,734170,10158,60835,1180190,73286,21834,249508,DRX037213,PRJDB2675,DRS008100,SAMD00005764,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041593,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_ciliated_epithelial_cell,159,23,1051768,1001661,66294,262869,261445,425,1007,240319,2261,18127,375617,21525,5637,74299,DRX037227,PRJDB2675,DRS008099,SAMD00005104,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041607,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_ciliated_epithelial_cell,159,23,907151,845756,62958,212552,211147,383,880,165812,2726,14550,354834,17418,4991,71993,DRX037241,PRJDB2675,DRS008101,SAMD00005448,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041601,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_corneal_epithelial_cell,159,23,976180,926022,63063,152812,151655,353,772,220350,1218,20576,424733,17245,4409,83907,DRX037235,PRJDB2675,DRS008103,SAMD00005451,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041614,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_corneal_epithelial_cell,159,23,2556445,2432617,106758,575350,572621,477,3799,563525,3133,51611,998657,41902,12898,181742,DRX037248,PRJDB2675,DRS008102,SAMD00004967,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041627,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Eye_corneal_epithelial_cell,159,23,1187355,1097511,68271,238496,237009,406,1555,199704,2378,24041,495487,21917,6603,107330,DRX037261,PRJDB2675,DRS008104,SAMD00005608,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041445,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Gum_epithelial_cell,159,22,872542,699333,76222,341787,339289,395,1706,44538,1557,26591,168589,22953,10552,81060,DRX037079,PRJDB2675,DRS008187,SAMD00004702,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041533,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Gum_epithelial_cell,159,22,2290837,2103779,152189,423621,421037,445,2705,871631,2341,23093,567269,34578,22773,155768,DRX037167,PRJDB2675,DRS008186,SAMD00005050,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041632,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Hepatocyte,159,27,7496983,6648806,384269,2904069,2878875,436,1465,2070295,269,250688,540186,112592,222506,546736,DRX037266,PRJDB2675,DRS008199,SAMD00005826,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041633,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Hepatocyte,159,27,10244371,9104760,428336,3338829,3314796,495,2325,3899363,219,303569,484075,132792,249288,694300,DRX037267,PRJDB2675,DRS008200,SAMD00005065,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041634,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Hepatocyte,159,27,15438231,13539117,1388944,4368428,4327559,597,4981,4888976,262,589527,939431,322577,756445,1668490,DRX037268,PRJDB2675,DRS008201,SAMD00004984,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR7226512,SRP149118,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte,14,27,50841233,39937253,3243376,8150243,8083032,582,13136,10553413,2285,1434363,6614113,1640241,4089086,7440373,SRX4133024,PRJNA473423,SRS3347072,SAMN09273525,GEO,DOI: 10.1016/j.jcmgh.2019.01.008,30763770
SRR7226513,SRP149118,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte,14,27,15788504,11091497,424384,1592186,1565468,496,4589,869239,491,224284,5749253,178115,150443,2322897,SRX4133025,PRJNA473423,SRS3347074,SAMN09273524,GEO,DOI: 10.1016/j.jcmgh.2019.01.008,30763770
SRR8094761,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte,115,27,13284524,12925937,1570869,8599236,8555797,582,4613,1214962,7839,637777,247803,260422,658567,1294718,SRX4921613,PRJNA445694,SRS3966939,SAMN10278946,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094762,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte,115,27,12128819,11952243,1145776,7636821,7618296,725,8024,1010544,6049,983072,582762,279372,353606,1091993,SRX4921614,PRJNA445694,SRS3966940,SAMN10278945,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094763,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,14481756,14084358,1109986,6288286,6250950,714,5431,3010872,34595,674451,1080670,590233,501299,1898521,SRX4921615,PRJNA445694,SRS3966941,SAMN10278944,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094764,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,15126812,14788210,558766,8220399,8204397,794,4926,3199985,87691,818920,726553,403768,100174,1225794,SRX4921616,PRJNA445694,SRS3966942,SAMN10278943,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094765,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,14410577,12611993,1658957,3546365,3312427,492,1891,1618625,29531,331231,858801,565974,73360,5586215,SRX4921617,PRJNA445694,SRS3966943,SAMN10278942,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094766,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,14988074,14238392,1669490,4915213,4799134,621,3039,2349164,40870,390542,586241,466408,106296,5380619,SRX4921618,PRJNA445694,SRS3966944,SAMN10278941,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094767,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,13169270,11138069,1536878,4779922,4515779,522,2143,404355,50259,220651,172599,536826,41089,4930225,SRX4921619,PRJNA445694,SRS3966945,SAMN10278940,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094768,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,13335916,13095624,528160,7329991,7306616,775,4945,2769409,70886,859981,361184,306830,73777,1318621,SRX4921620,PRJNA445694,SRS3966946,SAMN10278939,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
SRR8094769,SRP136469,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Epithelial,No,Hepatocyte_derived,115,27,13897731,13044002,545881,8831629,8797786,776,4636,1192175,146621,929140,508288,342469,64325,1024719,SRX4921621,PRJNA445694,SRS3966947,SAMN10278938,GEO,DOI: 10.1038/s41422-019-0196-x,31270412
DRR041381,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,1294942,886249,58805,593686,590495,416,3094,56351,3093,29707,90637,21526,9921,78234,DRX037015,PRJDB2675,DRS008204,SAMD00005531,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041402,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,1060230,771537,63449,266341,264845,373,2034,98204,1663,56721,208220,46460,8991,82903,DRX037036,PRJDB2675,DRS008207,SAMD00004992,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041425,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,4404926,3993767,227428,1153235,1146427,612,4180,270016,13865,163777,1868498,163069,58510,298617,DRX037059,PRJDB2675,DRS008208,SAMD00005596,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041432,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,2070180,1741411,140010,865536,859853,541,4349,201979,7747,95384,285677,86832,22211,171696,DRX037066,PRJDB2675,DRS008206,SAMD00005662,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041521,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,1626944,1354078,99798,591190,587549,496,4345,120221,4602,56776,383496,50493,11486,131469,DRX037155,PRJDB2675,DRS008205,SAMD00004888,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041540,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Epithelial,No,Keratinocyte,159,28,2295315,2152827,94081,411805,408760,425,1835,606984,6072,33511,859022,35645,10628,187325,DRX037174,PRJDB2675,DRS008209,SAMD00005048,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1774096,SRP052865,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,71,28,17370282,15601074,351977,11647874,11564351,924,80503,477260,43237,834442,443691,390439,96507,1587121,SRX853925,PRJNA273736,SRS827779,SAMN03295395,GEO,DOI: 10.1371/journal.pone.0126087,25978377
SRR1774097,SRP052865,Illumina Genome Analyzer IIx,miRNA-Seq,size fractionation,Epithelial,No,Keratinocyte,71,28,17060704,15123747,320563,11282561,11205711,951,64449,398786,41429,857164,409738,330000,90651,1648969,SRX853926,PRJNA273736,SRS827780,SAMN03295394,GEO,DOI: 10.1371/journal.pone.0126087,25978377
