Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Input Reads after miREC error correction,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR1592246,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592246,Platelet,70,30,17214842,16954163,470264,3846322,3832772,629,7596,1443932,135,20608,1987567,8291644,152899,1203460,SRX716595,PRJNA262560,SRS712384,SAMN03083672,GEO,DOI: 10.1371/journal.pone.0129399,26121269
SRR1592247,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592247,Platelet,70,30,25325847,24849741,673929,2665114,2650172,592,5888,1345232,124,54773,4302040,14534281,218967,1723322,SRX716596,PRJNA262560,SRS712386,SAMN03083673,GEO,DOI: 10.1371/journal.pone.0129399,26121269
SRR1592248,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592248,Platelet,70,30,16161626,15583633,595413,1438608,1428715,524,4241,1266548,67,81350,3647224,7785837,173611,1186147,SRX716597,PRJNA262560,SRS712387,SAMN03083674,GEO,DOI: 10.1371/journal.pone.0129399,26121269
SRR1592249,SRP048290,Illumina HiSeq 2000,miRNA-Seq,size fractionation,Platelet,SRR1592249,Platelet,70,30,28515834,27140466,775244,3637829,3608888,673,10598,2410237,122,34805,4805763,13394896,255356,2590860,SRX716598,PRJNA262560,SRS712388,SAMN03083675,GEO,DOI: 10.1371/journal.pone.0129399,26121269
SRR1664893,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664893,Red_blood_cell,51,49,17692965,17098600,128975,14938190,14935096,517,10661,81084,8,497,208243,1615870,3727,240320,SRX769817,PRJNA268835,SRS753967,SAMN03225413,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664894,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664894,Red_blood_cell,51,49,16713448,16356343,110797,14287188,14284568,497,21996,43166,0,508,166728,1646378,3600,186779,SRX769819,PRJNA268835,SRS753969,SAMN03225414,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664895,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664895,Red_blood_cell,51,49,31614208,31475833,173103,28180483,28174244,622,33700,117413,28,1027,251816,2469781,7016,414569,SRX769818,PRJNA268835,SRS753968,SAMN03225416,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664896,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664896,Red_blood_cell,51,49,9927231,9827320,60220,8928193,8927293,329,3005,14893,1,130,108641,634319,1446,136692,SRX769820,PRJNA268835,SRS753971,SAMN03225415,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664897,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664897,Red_blood_cell,51,49,21196809,20798327,140797,18676961,18673191,565,11034,41779,5,734,163301,1615594,6780,282139,SRX769821,PRJNA268835,SRS753970,SAMN03225412,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
DRR041504,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2314993,2048529,109108,572588,570579,497,1091,69674,3792,77985,1085273,65077,14258,158791,DRX037138,PRJDB2675,DRS008197,SAMD00004864,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041616,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2910584,2762162,124203,735695,732831,530,1649,404803,8425,51709,1290128,50939,13774,205040,DRX037250,PRJDB2675,DRS008196,SAMD00004821,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR5127232,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,RBC,SRR5127232,Red_blood_cell,151,49,24526629,24287204,170379,21298180,21292211,728,20032,105694,108,31541,622327,1802986,8791,397545,SRX2441510,PRJNA358331,SRS1876176,SAMN06176871,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
SRR10259195,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33,30,7689356,7601173,282120,4386075,4373411,626,6555,60009,243,4237,238310,2571189,18704,315851,SRX6977067,PRJNA576924,SRS5502306,SAMN13014919,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10259196,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33,30,9205302,9116780,314265,5203309,5184653,637,6317,97647,175,3167,255753,3202631,26521,321260,SRX6977068,PRJNA576924,SRS5502307,SAMN13014918,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10259197,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33,30,10498730,10416396,309377,5392543,5378221,620,7242,86490,233,2779,227539,4330657,22005,346908,SRX6977069,PRJNA576924,SRS5502308,SAMN13014917,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10259198,SRP225116,NextSeq 500,miRNA-Seq,size fractionation,Platelet,No,Platelet,33,30,13702300,13585839,327914,10092827,10062371,757,11203,112927,417,5774,192408,2838856,13751,317676,SRX6977070,PRJNA576924,SRS5502309,SAMN13014916,GEO,DOI: 10.3389/fcvm.2020.00031,32266291
SRR10282881,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,17526727,17262060,647052,1556998,1548499,516,1281,7840736,21,80810,1827517,4212349,45881,1696467,SRX6995897,PRJNA577688,SRS5517627,SAMN13032387,GEO,-,-
SRR10282882,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,13089641,12910423,649689,1132461,1122047,445,828,5516506,16,58086,1264594,2957493,29241,1951198,SRX6995897,PRJNA577688,SRS5517627,SAMN13032387,GEO,-,-
SRR10282883,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,17246544,16863308,662223,1591612,1577438,523,1095,5792488,38,126505,1839397,5860237,37967,1613969,SRX6995898,PRJNA577688,SRS5517628,SAMN13032386,GEO,-,-
SRR10282884,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,12767440,12508288,667232,1163247,1150975,467,805,4022034,29,91091,1295239,4152028,24323,1759492,SRX6995898,PRJNA577688,SRS5517628,SAMN13032386,GEO,-,-
SRR10282885,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,15412847,15285245,554837,1321718,1307410,494,1132,7581477,32,92111,1521523,3209495,32954,1524803,SRX6995899,PRJNA577688,SRS5517629,SAMN13032385,GEO,-,-
SRR10282886,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,11591740,11503939,575495,967330,954542,435,767,5427123,15,66435,1061440,2237825,20882,1722122,SRX6995899,PRJNA577688,SRS5517629,SAMN13032385,GEO,-,-
SRR10282890,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,18318392,17612815,854882,3047575,3013398,623,3524,5490342,2280,353106,4872688,2101537,74843,1666920,SRX6995903,PRJNA577688,SRS5517633,SAMN13032381,GEO,-,-
SRR10282891,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,13692972,13204958,854829,2240311,2208541,540,2400,3922349,1318,256283,3437203,1512300,48780,1784014,SRX6995903,PRJNA577688,SRS5517633,SAMN13032381,GEO,-,-
SRR10282892,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,18974047,18757157,631217,1964642,1939078,535,2408,9932704,848,253714,2672994,1996368,39232,1894247,SRX6995904,PRJNA577688,SRS5517634,SAMN13032380,GEO,-,-
SRR10282893,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,14437081,14287810,638620,1448416,1424846,442,1723,7185466,531,185657,1893665,1436483,25830,2110039,SRX6995904,PRJNA577688,SRS5517634,SAMN13032380,GEO,-,-
SRR10282894,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,34390488,32741502,755349,4312995,4259960,510,4091,15616736,1025,444803,2358620,2286489,63098,7653645,SRX6995905,PRJNA577688,SRS5517635,SAMN13032379,GEO,-,-
SRR10282895,SRP225753,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Platelet,No,Platelet,127,30,25991555,24857417,820807,3154313,3100875,468,2958,11322897,594,313051,1671412,1636723,41107,6714362,SRX6995905,PRJNA577688,SRS5517635,SAMN13032379,GEO,-,-
DRR041355,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1478056,1156543,86199,356732,355142,371,1219,7116,1105,228918,366522,60120,8134,126677,DRX036989,PRJDB2675,DRS007934,SAMD00005354,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041447,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1807275,1620287,69718,1172002,1169635,439,809,75857,2635,58086,201236,29295,8614,71753,DRX037081,PRJDB2675,DRS008301,SAMD00004851,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041467,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2822419,2386151,102587,1185361,1181094,542,3483,150510,12882,64528,740208,65105,16221,147853,DRX037101,PRJDB2675,DRS008305,SAMD00005889,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041473,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2659537,2330194,90157,1665472,1662934,476,1419,133278,5845,91272,276919,47199,9267,99523,DRX037107,PRJDB2675,DRS008300,SAMD00005471,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041487,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1577400,1471200,87722,903824,898341,526,3646,130854,6188,47829,200200,40201,14345,124113,DRX037121,PRJDB2675,DRS008308,SAMD00005228,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041493,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2567091,2448607,95480,1781659,1779503,502,1349,108367,4248,83204,296559,45310,12651,115260,DRX037127,PRJDB2675,DRS008302,SAMD00005229,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041511,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1702268,1445513,115626,786551,779979,525,3402,179653,7487,39782,225444,42230,19937,141027,DRX037145,PRJDB2675,DRS008306,SAMD00004847,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041517,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2196446,1967621,67891,1546300,1544320,461,830,49840,4457,76926,184866,35441,6295,62666,DRX037151,PRJDB2675,DRS008303,SAMD00005026,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041527,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1643496,1397313,143418,677335,673280,485,2065,206880,3989,38417,202163,35868,110699,119897,DRX037161,PRJDB2675,DRS008309,SAMD00005360,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041536,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2681089,2511383,79976,1552025,1550414,475,1152,605737,6896,42763,165071,35711,5696,96332,DRX037170,PRJDB2675,DRS008304,SAMD00005735,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041554,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2096707,1898122,71288,1065863,1062745,470,3382,578714,5408,18290,119822,22660,7284,76699,DRX037188,PRJDB2675,DRS008307,SAMD00005562,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041575,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2719091,2492791,105143,1149803,1144971,517,4553,912475,10669,33126,168309,37424,13941,162491,DRX037209,PRJDB2675,DRS008310,SAMD00004752,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1044598,SRP033566,Illumina Genome Analyzer IIx,RNA-Seq,size fractionation,RBC,No,Red_blood_cell,1,49,1290214,1262255,16514,1235543,1125449,146,7128,656,19,70,1284,7384,35,10136,SRX388389,PRJNA230811,SRS512276,SAMN02437714,GEO,DOI: 10.1073/pnas.1401724111,25012294
SRR5755825,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3204336,1563144,22192,973090,972505,255,529,3312,1,257,3720,30023,419,551793,SRX2956005,PRJNA391912,SRS2313208,SAMN07277879,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755860,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,10300082,10159150,644230,161921,105151,147,105,1008,1,1026,4667,35307,1191,9953924,SRX2956040,PRJNA391912,SRS2313243,SAMN07277695,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755895,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3554511,2644478,23836,79800,78435,127,85,1174,2,132,806,5583,51,2556845,SRX2956075,PRJNA391912,SRS2313278,SAMN07277712,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755902,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3646607,2899171,23504,173707,172730,173,251,1556,0,135,2443,10025,83,2710971,SRX2956082,PRJNA391912,SRS2313285,SAMN07277864,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755909,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3351764,2755627,21637,214714,213770,174,103,876,0,173,1848,10068,76,2527769,SRX2956089,PRJNA391912,SRS2313292,SAMN07277856,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755916,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1933432,1543721,16680,189166,187678,172,280,654,0,571,2050,14087,234,1336679,SRX2956096,PRJNA391912,SRS2313299,SAMN07277390,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755923,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1731866,1713796,11344,103714,102561,132,89,282,1,602,1215,6611,205,1601077,SRX2956103,PRJNA391912,SRS2313306,SAMN07277516,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755930,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3470944,3421165,25474,328796,325951,193,250,1049,0,1174,5926,27379,395,3056196,SRX2956110,PRJNA391912,SRS2313313,SAMN07277509,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755937,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2600893,2408905,16326,130428,129257,142,116,946,1,970,1810,8231,322,2266081,SRX2956117,PRJNA391912,SRS2313320,SAMN07277502,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755944,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1490589,1201116,11198,131781,131518,147,123,511,0,148,1923,7723,65,1058842,SRX2956124,PRJNA391912,SRS2313327,SAMN07277525,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755951,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1721543,1468154,12731,129694,129379,140,65,408,0,132,3093,10536,53,1324173,SRX2956131,PRJNA391912,SRS2313334,SAMN07277518,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755958,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3128728,2338014,16934,130356,129595,138,67,1030,0,209,4933,13393,94,2187932,SRX2956138,PRJNA391912,SRS2313341,SAMN07277627,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755965,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2040382,1554456,13704,71684,71377,121,81,841,0,149,2779,8472,60,1470390,SRX2956145,PRJNA391912,SRS2313348,SAMN07277620,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755972,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1768512,1691233,10541,117567,117272,147,134,302,0,365,1027,6849,128,1564861,SRX2956152,PRJNA391912,SRS2313355,SAMN07277643,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755979,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,4944185,3760068,27796,535710,534724,239,234,2521,1,886,10588,33932,394,3175802,SRX2956159,PRJNA391912,SRS2313362,SAMN07277636,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755986,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,7347679,4068070,30166,727317,725438,267,620,1815,2,1269,5493,32673,427,3298454,SRX2956166,PRJNA391912,SRS2313369,SAMN07277786,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755993,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,7368450,3909318,38602,584424,582239,258,407,2607,1,1213,9607,25819,495,3284745,SRX2956173,PRJNA391912,SRS2313376,SAMN07277778,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756000,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3141008,3075666,23682,640454,639984,243,573,2334,2,249,6928,35390,249,2389487,SRX2956180,PRJNA391912,SRS2313383,SAMN07277770,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756007,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2255975,2200737,15426,468707,468373,213,225,1755,2,259,4378,20576,170,1704665,SRX2956187,PRJNA391912,SRS2313389,SAMN07277843,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756060,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3533822,2213256,20408,101851,100061,138,31,288,0,296,1341,5271,82,2104096,SRX2956240,PRJNA391912,SRS2313443,SAMN07277401,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756067,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2754914,2005278,18679,173165,172124,164,214,409,1,230,2306,11571,83,1817299,SRX2956247,PRJNA391912,SRS2313450,SAMN07277816,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756074,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3988169,2483959,22616,360039,358582,226,175,916,0,748,2977,23492,262,2095350,SRX2956254,PRJNA391912,SRS2313457,SAMN07277809,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756081,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2446292,1849344,17402,303810,303166,204,295,336,0,492,1564,14218,173,1528456,SRX2956261,PRJNA391912,SRS2313464,SAMN07277802,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756088,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3416917,2440903,16343,119109,118293,145,74,303,0,791,2176,9690,191,2308569,SRX2956268,PRJNA391912,SRS2313471,SAMN07277795,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756095,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3241033,2599707,21029,343341,342483,204,220,819,0,800,2310,17157,218,2234842,SRX2956275,PRJNA391912,SRS2313478,SAMN07277792,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756102,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,4078586,3669467,22668,379464,376801,193,243,981,2,1502,3315,16307,395,3267258,SRX2956282,PRJNA391912,SRS2313485,SAMN07277757,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756109,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,6966323,6745723,26892,168719,163414,160,63,1020,0,2359,2841,7064,534,6563123,SRX2956289,PRJNA391912,SRS2313492,SAMN07277749,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR7545527,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,16007105,14034589,98082,12942997,12940117,555,4788,18308,180,470,156207,158756,6471,746412,SRX4411819,PRJNA482110,SRS3565389,SAMN09695777,GEO,-,-
SRR7545528,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,13750987,13371723,88215,12789818,12787709,540,2816,97232,240,538,84548,142984,5504,248043,SRX4411820,PRJNA482110,SRS3565390,SAMN09695786,GEO,-,-
SRR7545529,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,17203187,16057701,119845,15096410,15093685,557,12600,76946,265,830,187138,237300,9414,436798,SRX4411821,PRJNA482110,SRS3565391,SAMN09695785,GEO,-,-
