Gene name	cortex	muscle	ventricle	liver	pituitary_gland	brain	pancreas	sclera	thyroid	hippocampus	trachea	atrium	occipital_lobe	thalamus	frontal_lobe	temporal_lobe	dura_mater	cerebellum	vein	pericardium	atrial_appendage	spinal_cord	nerve	adrenal_gland	parietal_lobe	spleen	skin	hypothalamus	submandibular_gland	bronchus	pleurae	bone	diaphragm	prostate	glandular_breast_tissue
miR-217-5p	1.093871779	6.083443519	3.710033253	30.13641616	19.10934141	0.684593609	6050.718011	1.408457566	4.48323914	27.56820869	4.736162743	27.02449128	2.525898911	11.83038442	2.542738724	1.726940744	0.990941087	33.12811902	47.6482407	1.246824462	36.4503536	9.192480006	6.589392721	5.418509846	2.318056886	10.73318716	2.866789261	1.164387603	2.197624169	10.91482342	3.595797935	5.794997613	11.61794264	1.191927683	1.064054625
miR-216b-3p	0	0.040470141	0.048986886	0.491173739	0.289909929	0.032599696	71.24376729	0	0.091673636	0.301704062	0.031398903	0.056714635	0.036602995	0.094008102	0.013748311	0.014737463	0	0	0.024825453	0	0	0.647102861	0.12834234	0.073844998	0.172621257	0.153417015	0.036997208	0	0.035931423	0.070005693	0.009408232	0.065852246	0	0	0
miR-802	0	0.415586252	0.244934429	1.886471399	0	0	354.0340019	0.023089468	0.145345593	0.150852031	0.408185742	0.151239026	0.060599121	0.032904687	0.013748311	0	0.015182531	0.051964825	0.510145769	0	0.231186175	0.044545501	0.058649222	0.14783682	0	0.081794556	0.05453195	0	0.682697032	0.120471889	0.032011454	0.329261228	0.039924202	0.04414547	0
miR-184	1.484540271	3.033514182	2.318945336	0.558401328	55.06751517	45.31357696	14.6182589	28819.58164	7.894678747	41.78601262	0.809133546	24.66996645	65.84243466	30.47107618	48.39838733	16.05353225	2.10070231	1.574380769	30.20524382	7.515047683	15.64359784	174.2318825	26.24003127	78.3561527	39.38230689	21.09843519	6.145023883	3.455601919	1.597795583	1.364256588	3.506579089	5.234817926	12.17688146	6.489384052	11.26124479
miR-211-5p	0.937604382	1.778839277	1.172832801	1.898927026	4.717259502	100.2114644	1.627212142	1022.078404	2.550645337	3.73358777	1.259774346	1.587367186	27.15891163	121.7093745	29.84905337	52.52249564	2.858505377	5.5004415	8.617753709	3.721265793	0.732089554	159.4741486	19.67029365	115.8154601	93.70868264	17.80121887	196.4080251	220.1443788	0.976333792	1.259770752	3.701531223	2.996277175	1.277574448	0.220727349	6.073978487
miR-135a-2-3p	0.390668492	0.399859648	0.146960658	0.131703131	12.44529005	2.053780826	0.529205012	0.715773517	46.34005948	19.00735592	0.663821898	0.756195129	0.875403426	3.610177777	2.76701271	2.715230472	0.394745812	0	0.119058451	0.060457153	1.541241167	3.111872605	3.090279065	2.463388514	2.663299401	5.258544389	0.055969368	0.638535137	2.00588995	0.135935238	0.18722021	0.071087526	0	0.529745637	0.044335609
miR-135a-5p	471.7322046	289.6278881	85.06206029	50.70502321	13011.0137	2927.38747	675.1602108	312.6314007	24172.50909	12113.58781	301.1667832	548.0078626	840.4396882	2498.586833	2468.466976	1648.432588	122.6982172	14.81029452	464.6971262	35.56249028	646.5121385	3456.439307	2733.758	3084.027882	1029.883082	2123.187456	47.02715909	187.8795739	741.7217649	113.3001254	73.937931	39.97651786	10.26051979	130.5602268	2.704472173
miR-34b-3p	0.859470683	1.169852258	1.524704254	1.114589937	6.209536536	3.162170479	2.309588144	2.470573108	3.316625892	637.5383966	682.8701823	3.156600595	5.774140996	26.19944833	6.960615049	4.08228634	1.804277926	0.603859313	0.963016953	7.997828779	1.541241167	12.28127723	9.604994665	5.985221997	5.203297904	8.272307491	2.611522961	1.72780096	1.939209701	208.8009992	3.467744396	1.398054671	1.876437471	3.266764761	1.019719016
miR-34c-5p	8.829107928	12.38712217	11.81591616	6.880716719	94.01572409	48.21494987	13.1231971	26.55288854	32.84985524	5785.590237	3014.874582	23.45076245	53.78032201	260.2954256	56.58245828	31.21960793	15.86198225	2.626940115	9.926530247	81.9245707	12.52258448	106.8246263	86.22854091	88.23425841	50.82463024	74.2182065	30.2848985	14.94923439	12.94594916	1827.900095	34.18171942	11.94270431	8.344158115	30.81353788	11.39425161
miR-449c-5p	0	0.186060167	0.258976964	0.213129964	0.536626875	0.880191783	0.547257739	0.207805215	0.625599472	0.188565039	138.3303699	0.23621459	0.889869274	0.354013945	0.626013869	0.839447341	0.145820123	0.096898727	0.368562002	1.730535629	0.154124117	0.292383858	0.329936594	5.060740128	0.369902695	0.143303987	0.382562858	0.112682671	0.247077733	36.08008857	0.323853167	0.353774494	0.159696806	0.04414547	0.310349266
miR-449b-5p	0.078133698	0.559789823	0.631416939	0.682062819	1.450544246	2.868773218	1.207193481	0.669594581	2.245925853	0.867399179	303.0309206	0.670898272	1.91424178	0.495208836	1.127728928	1.857512913	0.791529902	0.793821811	0.713880269	4.328517011	0.655027496	1.082356983	0.904347414	55.90638005	1.824853294	0.696127356	0.724446431	0.488291576	0.634919673	106.0060899	1.282094335	0.919813685	0.399242015	0.353163758	0.532027313
miR-4433b-3p	0	0.137960671	37.32074147	0.213646679	0.051892079	0	0.112859761	0	0.299432424	0.075426016	0.024104794	41.80421676	25.89531861	28.31601049	12.46800913	19.96569604	21.3600286	27.57347163	17.36517128	0.170875624	0.269717204	0	0.15167493	0	0	1.788037624	0.029752792	0	0	0.730651904	0.216681106	1.836342049	0.079848403	0.04414547	0.044335609
miR-4433b-5p	0.078133698	0.15266506	33.27953382	0.793141439	0.132698049	0.097799087	0.178361158	0.27707362	0.834887194	0.075426016	0.051799588	145.4433479	123.0477584	55.90420489	58.34906698	71.02389826	89.12746247	81.86496087	33.00545949	0.554815767	0.077062058	0.100936903	0.302677694	0.115016821	0.221941617	5.275514801	0.070845764	0	0.047661773	6.135606171	0.417378399	2.748717658	0.079848403	0.04414547	0.177342438
miR-11400	0	0.048524391	8.914160845	0.076964205	0.026304299	0	0	0.023089468	0.064846032	0.037713008	0	3.136963205	28.42341121	3.117887054	6.304452803	12.16297457	10.79279046	7.520037717	11.23388433	0.034584455	0.077062058	0	0.030344686	0	0	0.234327039	0	0	0.070382104	0.580311666	0.054301872	0.296335105	0	0	0
miR-1-3p	180076.4929	164590.9049	153187.9136	601.0644315	227.0835617	482.5895946	641.7265863	316.8221392	7095.006368	195.7493669	1749.195726	34272.65673	1002.221587	132.9567935	457.0093332	433.9824663	204.3473622	1610.423657	2060.197163	102907.1544	26838.24894	428.5686781	5903.615916	176.5819559	792.0603099	451.3219197	352.7509056	518.3402879	1489.456538	786.8728902	53685.34409	32178.28824	23787.13869	3657.761186	67.94432139
